question,answer,id,context_id
خاندان هوجو به کدام خاندان حکومت را واگذار کرد؟,خاندان هوجو در جدال بر سر قدرت، حاکمیت را به خاندان آشیکاگا واگذار کرد.,1622842,113
نام کامل ون گوگ چیست؟,تئو فان خُخ,1631568,119
واژهٔ گوگول بعد از اختراع شدن توسط میلتون سیروتا در چه کتابی نوشته شد؟,ریاضیات و تخیل,1611767,107
در بازی‌های آسیایی ۱۹۹۰ پکن چند ورزش المپیکی و چند ورزش غیر المپیکی باهم به رقابت پرداختند؟,۲۸ ورزش المپیکی و ۱۴ ورزش غیر المپیکی,1648534,130
فتح هویزه در چه سالی اتفاق افتاد؟,,1614297,108
رضاخان به نصیحت چه کسانی مبنی بر ادامهٔ نظام پادشاهی و عدم تأسیس جمهوری گوش کرد؟,روحانیون بلند مرتبهٔ شیعه,1637722,123
چند نفر در سراسر دنیا بازی فینال جام جهانی سال ۲۰۰۶ را بصورت زنده مشاهده کردند؟,۷۱۵٫۱ میلیون نفر,1606457,104
در سال 1378، چند درصد کل جمعیت روستایی استان خوزستان را عرب‌ها در برمی‌گرفتند؟,۳۸ درصد,1614128,108
در راس کلیسای کاتولیک چه کسی قرار دارد؟,اسقف اعظم رم,1630212,118
تلاش های ایبریایی ها باعث چه چیزی شد؟,درگرفتن جنگی بین ایران و روم شد,1642913,126
در سال 1950، گیلان به چه شهرستان‌هایی تقسیم شده بود؟,طوالش، فومن، بندر پهلوی (انزلی)، رشت و لاهیجان,1610314,106
نور مرئی چیست؟,,1640513,125
یزگرد دوم به کجا لشکر کشید؟,غرب,1642692,126
فرح کریمی به نمایندگی از کدام حزب در مجلس هلند حضور داشته‌است؟,سبزها,1631509,119
دانشگاه جندی شاپور را چه کسانی بنیان‌گذاردند؟,ساسانیان,1613900,108
اولین رهبر مسیحیان کاتولیک جهان چه کسی بود؟,,1630335,118
در ژاپن چند گونه گیاهی وجود دارد؟,بین ۴۰۰۰ تا ۶۰۰۰ گونه گیاهی,1622503,113
اندکی بعد از کودتا اسفند 1299 بیانیه‌های تند و تیزی، یکی از سوی سید ضیاء و دیگری از سوی رضاخان، صادر شد که دربارهٔ چه بود؟,نجات کشور و سلطنت از دست خائنان و نالایقان و بازسازی آن,1637548,123
چند تیم در مسابقات جام جهانی سال 1934 در ایتالیا حضور داشتند؟,۱۶ تیم,1606633,104
چند درصد از مردم گیلان گویش خاوری دارند؟,,1609972,106
به کسی که نرم‌افزار رایانه می‌نویسد چه چیزهایی می‌گویند؟,برنامه‌نویس، برنامه‌نویس رایانه، توسعه‌دهنده، کدنویس، یا مهندس نرم‌افزار,1634127,121
اگر جسمی به سمت زمین در حرکت باشد، از نظر چشم غیرمترقبه در نور مرئی چه میزان متفاوت است؟,تفاوت محسوسی وجود نخواهد داشت,1640568,125
علت نام گذاری شنای تروجن چیست؟,نام نخستین نمایش دهنده آن (جیمز تروج) بر روی آن نهاده شده‌است,1645519,128
چه کسی هفت هفته متوالی جایزه فری استایل فرایدی را در بت ۱۰۶ و پارک که برنامه‌ای مختص هیپ هاپ بود، را از آن خود کرد؟,یک هنرمند رپ چینی- آمریکایی به نام جین آئو- یونگ,1617532,110
به چه دلیل گیلان در سال 1395، استان بدون بار امنیتی عنوان شد؟,دغدغه ای از لحاظ امنیت در سطح کلان در گیلان نداشته‌اند و براساس ارزیابی‌های وزارت کشور ایران، دغدغه ای از لحاظ امنیت در سطح کلان در این استان نبوده‌است,1610371,106
شاپور دوم چه سیاستی را درپی گرفت؟,سیاست دینی بی‌رحمانه,1642409,126
چگونه از پزشکی پرفشار برای بهبودی بیمار استفاده می‌شود؟,استفاده از اکسیژن در فشار بالاتر از فشار اتمسفر، و تسریع درمانی برای بیماری کاهش فشار با هدف کاهش اثرات مضر حباب‌های گاز با کاهش اندازه آن‌ها و فراهم کردن شرایط بهبودی بیمار,1625205,114
چند پروتکل که روی وب استفاده می‌شود را نام ببرید؟,,1619498,111
اروپا چندمین قاره جهان از نظر تراکم جمعیت است؟,دومین,1605122,103
فیس‌بوک در چه سالی در دسترس عموم قرار گرفت؟,,1619829,111
علت مرگ هاردینگ چه بود؟,,1635878,122
منظور از شیطان سرخ چیست؟,اتحاد شوروی,1635995,122
چند روز بعد از به تصویب رسیدن سیزدهمین اصلاحیه قانون اساسی ایالات متحده آمریکا آبراهام لینکلن به قتل رسید؟,۵,1635756,122
در رومانی، بی. یو. جی. مافیا از کجا ظهور کرد؟,پنتلیمون بخارست,1617704,110
غواصان و خدمه زیردریایی‌ها از چه چیزی استفاده می‌کنند؟,از اکسیژن مصنوعی متناسب با فشار,1625261,114
قطعه‌سازی که اغلب از آن تحت عنوان «بیت» یاد می‌شود توسط چه کسی نواخته می‌شود؟,یک دی جی,1616961,110
در چه سالی کمپانی گوگل اعلام کرد که قصد دارد صدها باتری خورشیدی نصب کرده و تا ۱٫۶ مگاوات نیروی برق تولید کند؟,سال ۲۰۰۶,1612280,107
پل باران در مطالعه جامع خود که برای نیروی هوایی ایالات متحده آمریکا منتشر کرده بود چه پیشنهادی داده بود؟,که برای دستیابی به استحکام و مقاومت در برابر حوادث از راه‌گزینی بسته کوچک استفاده شود,1619108,111
دلیل اصلی خارج شدن ۳ تن از فرزندان حسین‌علی میرزا فرمانفرما از ایران به بریتانیا چه بود؟,,1608418,105
در کدام کشور میزبان جام جهانی، قبل ازآغاز مسابقات، زلزله ویرانگر و ۹٫۵ ریشتری شیلی رخ داد؟,شیلی,1606747,104
سلطان تنجی در دوران سلطنت خود چه‌کار هایی انجام داد؟,وی بر خلاف گذشته که امپراتور فقط ریاست قبایل را بر عهده داشت حکومت را مرکزیت قدرت کشور گردانید و این قدرت تمامیت‌خواهی را در سراسر امپراتوری برقرار کرد.,1622727,113
در چه تاریخی با دادخواستی که توسط دادگاه فدرال کالیفرنیا علیه گوگل تنظیم شد، گوگل را ملزم به پرداخت 5 میلیارد دلار کرد؟,ژوئن ۲۰۲۰,1612338,107
حرکات منظم دست‌ها و پاها و به‌طور کلی بدن که امکان پیشروی موجودات زنده در آب را ممکن می‌سازد؛ چه می نامند؟,شناکردن,1645295,128
ارسطو راجع به کمدی چه می گوید؟,ارسطو می‌گوید کمدی از نمایش بدیهه سازی‌های سرخوانِ آوازه‌های آئینی فالیک بیرون آمده‌است,1647140,129
اینترنت از چه شبکه‌هایی تشکیل شده؟,از میلیون‌ها شبکه خصوصی، عمومی، دانشگاهی، تجاری و دولتی در اندازه‌های محلی و کوچک تا جهانی و بسیار بزرگ تشکیل شده‌است,1618933,111
روم کنترل کدام مناطق را به دست می گرفت؟,پنج ساتراپی بین دجله و ارمنستان,1642245,126
مرکز زمین در کجای مسیر ماهواره‌ها قرار دارد؟,مرکز این مسیر یا در نقطۀ کانونی آن,1632748,120
وارن گامالیل هاردینگ در انتخابات ریاست جمهوری سال ۱۹۲۰ آمریکا نامزد کدام حزب بود؟,جمهوری‌خواهان,1635815,122
وب جهان گستر چیست؟,مجموعه‌ای جهانی از اسناد و تصاویر و سایر منابعی است که به وسیله ابرپیوندها با یکدیگر ارتباط منطقی دارند,1619495,111
لاووازیه نام هوای حیاتی را در ۱۷۷۷ به چه نامی تغییر داد؟,اکسیژن,1624515,114
سالن ورودی گوگل پلکس مزین به چه چیزهایی است؟,یک پیانو، تعدادی سرور قدیمی، و جستارهای تحقیقاتی یک پروژه بر روی دیوار,1612166,107
مراسم افتتاحیه بازی‌های آسیایی ۲۰۱۰ در چه تاریخی برگزار شد؟,۱۲ نوامبر,1648586,130
بخش موازی در استان گیلان از ادغام چند بخش تشکیل شده بود؟,چهار بخش,1610311,106
زبان رایج ساسانیان چه بود؟,,1642914,126
اینترنت امکان دسترسی به رایانه‌های دیگر و انباره‌های اطلاعات را چگونه به کاربران رایانه می‌دهد؟,از راه دور,1619441,111
شهرهای تورنتو و اتاوا در کدام استان قرار دارند؟,استان انتاریو,1639126,124
میزان مهاجرت مردم خوزستان به شهرهای شمالی در سال 1399 چقدر بوده است؟,,1614579,108
رابرت تیلور متولد چه سالی بود؟,,1619055,111
هنگامی که علی بن موسی الرضا به ولایت عهدی رسید، بر خلاف سنت عباسیان چه رنگی را به عنوان رنگ خود برگزید؟,رنگ سبز,1607977,105
دریای تتیس، اقیانوس آرام را به کدام اقیانوس متصل می‌کرد؟,اطلس,1628826,117
آلبوم شاهکار بینش‌پژوه دارای چه سبکی است؟,سبک رپ طنز,1617595,110
علت وجود برخی واژگان فرانسوی در زبان هلندی چیست؟,دوره‌های تسلط فرانسویان بر این منطقه,1631627,119
خانواده نوش‌آفرین آیرملو بعد از کدام جنگ در تهران ساکن شده بودند؟,اصالتی گرجی یا ایروانی,1637298,123
یکی از محبوب ترین گروه‌ها در رومانی را نام ببرید؟,گروه پارازیتی,1617707,110
با توجه به کتاب «کُرّاسهٔ اَلمَعی» پرچم «بیرق قاپوق» در کجا در اهتزاز بوده‌است؟,محل اعدام مجرمان,1608255,105
شاپور چگونه کشته شد؟,بر اثر فروپاشی سقف بر سرش,1641846,126
رضاشاه در کدام روستا متولد شد؟,آلاشت,1637285,123
عملیات بمباران اتمی هیروشیما و ناگازاکی به فاصله چند روز انجام شد؟,به فاصله ۳ روز,1622896,113
چه کسی تحت تأثیر میرزا فتحعلی آخوند زاده پنج نمایشنامه نوشت؟,میرزا آقا تبریزی,1647306,129
در ژانویه ۲۰۱۱ گوگل اعلام کرد که دسترسی کاربران ایرانی به چه نرم‌افزارهایی آزاد است؟,گوگل ارث، پیکاسا و مرورگر کروم,1612675,107
ون گوگ در چه سالی به قتل رسید؟,۲۰۰۴,1631570,119
لطفعلی خان آخرین فرمانروای زند در چه سالی به دست آغا محمدخان قاجار کشته شد؟,سال ۱۲۰۹ هجری قمری,1602675,101
کدام جزء از جمهوری‌خواهان معتقد هستند که ایالات متّحده باید در عرصه‌ی خارجی سیاست‌هایی تهاجمی را دنبال کند و با کشورهایی که مزاحم منافع این کشورند، به شدّت برخورد کند؟,نومحافظه‌کاران,1636050,122
کدام کشور توانست موفق به کسب رتبهٔ نخست در جدول مدال‌ها در بازی‌های آسیایی ۲۰۱۰ شود؟,چین,1648755,130
صنایع دستی استان خوزستان را نام ببرید؟,,1613788,108
مرکز کالیفرنیا کدام شهر است؟,,1611775,107
اصلی‌ترین عامل پیشرفت آئین بودائی در ژاپن چه بود؟,تبلیغات غیر آزارنده و مسالمت‌آمیز، پرهیزکاری و اطاعت و انقیاد نسبت به حکومت بود.,1622674,113
 استراحت، رفع فشار و معالجه اضطراری برای غواصان و خدمه زیردریایی‌ها در چه عمق و فشاری است؟,عمق نسبتاً کم (عمق ۶ متر یا کمتر) در فشارهای حداکثر ۲٫۸ بار,1625263,114
چه کسی کادوسیان را مجبور کرد که با مادها بجنگند؟,یک پارسی به نام پارسد,1609852,106
قسمت‌هایی از موسیقی سنتی کره را نام ببرید؟,پانسوری یا نانگک (موسیقی کشاورزان),1617420,110
مسعود خان کیست؟,,1637551,123
رپ تور نیویورک توسط چه کسی حمایت می‌شد؟,اروپا,1617652,110
بزرگ‌ترین شاخه از کلیسای مسیحی کدام است؟,کلیسای کاتولیک,1630211,118
کریم خان زند به کدام شرکت در بوشهر پروانه زدن تجارتخانه  داد؟,شرکت انگلیسی هند شرقی,1602837,101
مهم‌ترین احزاب سیاسی فعال ژاپن کدام احزاب می‌باشد؟,حزب لیبرال دموکرات، حزب دموکراتیک ژاپن، حزب کومه جدید، حزب کمونیست ژاپن، حزب سوسیال دموکرات,1623066,113
بارنه‌یود در چه سالی جسد خود را به مدرسه فروخت تا با مرگ وی شاگردان به تشریح بدن او بپردازند؟,,1604064,102
کلیسای کاتولیک چند میلیارد نفر پیرو دارد؟,یک و نیم میلیارد نفر,1630210,118
ساسانیان چه نوع حکومتی داشتند؟,,1642915,126
قسمت اعظم رپ در چه غالبی موجود است؟,نوشته‌های رسا,1617308,110
اولین کلیسای کاتولیک در کجا ساخته شد؟,,1630214,118
باب دیلن در چه سالی رپ انجام می‌داد؟,سال ۱۹۶۰,1617306,110
استاروسلسکی افسر کدام کشور بود؟,روس,1637424,123
شاخص امید به زندگی در مردان و زنان در ژاپن چقدر می‌باشد؟,شاخص امید به زندگی در مردان ۷۲/۶۴ و در زنان ۸۶/۳۹ می‌باشد.,1622563,113
در چه سالی گوگل سیاست استراحت ابتکاری را به وجود آورد؟,,1611942,107
شاهنشاهی ساسانی چند سال بر ایران حکومت کردند؟,۴۲۷ سال,1641782,126
شورای المپیک آسیا در سال ۲۰۱۰ با ورود چه رشته‌ای به بازی‌ها موافقت کرد؟,رشتهٔ کریکت (بیست۲۰),1648643,130
ایستگاه‌های رادیویی هیپ هاپ تا چه سالی پا به عرصه وجود گذاشتند؟,تا سال ۱۹۸۲,1617651,110
نام قرائت‌های مختلف قرآنی چیست؟,,1601396,100
چرا آتش‌سوزی که باعث کشته شدن خدمه آپولو ۱ در آزمایش سکوی پرتاب شد، خیلی سریع گسترش یافت؟,زیرا کپسول حاوی اکسیژن تحت فشاری در حدود ۱ اتمسفر بود,1625378,114
استان خوزستان در کجا واقع است؟,جنوب‌غربی ایران,1613781,108
 لئونارد کلینراک چه کسی بود؟,استاد دانشگاه کالیفرنیا,1619110,111
انگلیسی‌ها در تجارت با کریم خان زند چه دادو ستدی داشتند؟,انگلیسی‌ها پارچه‌های پشمی به ایران می‌آوردند و در برابر کریم خان ایشان را از حق گمرک معاف نمود,1602838,101
چرا برادر فرج‌الله بهرامی به مدرس سیلی‌ زد؟,,1637724,123
وحی چیست؟,,1601011,100
مخالفان رضاشاه معتقدند پهلوی یکم چه چیزهایی را در ایران نابود کرد؟,دموکراسی، مجلس، انتخابات و آزادی,1637165,123
چند درصد مردم چین به مسیحیت روی آوردند؟,,1623179,113
در حال حاضر مرکز استان خوزستان کدام شهر است؟,شهر اهواز,1613790,108
کتیبه‌های سنگی دوران ساسانی درحال حاضر در کجا نگهداری می‌شوند؟ ,,1607915,105
نشان جمهوری اسلامی ایران به چه رنگی در میانه‌ی نوار سفید قرار دارد؟,رنگ سرخ,1607859,105
مدرس از چه کسی سیلی خورد؟,برادر فرج‌الله بهرامی,1637721,123
به چه علت بخش زیادی از کانادا خالی از سکنه است؟,به دلیل سرما و نزدیکی به قطب شمال,1639072,124
در پی چه چیزی لینکلن اعلامیه معروف خود مبنی بر آزادی برده‌ها را اعلام کرد؟,پیروزی نظامی و معنوی دولت فدرال بر ایالت‌های تجزیه طلب جنوبی,1635751,122
در چه تاریخی سازمان اروپایی پژوهش دربارهٔ ذرات - پروژه وب جهان گستر را به اطلاع عموم رساند؟,ششم اوت ۱۹۹۱,1619167,111
کتاب‌خانه‌های کد پایه چیست؟,,1634403,121
بعد از مرگ هاردینگ چه کسی عهده‌دار پست ریاست جمهوری شد؟,جان کالوین کولیج,1635870,122
وضعیت تئاتر در سده ی هجدهم اروپا به چه شکل بود؟,,1646970,129
احتراق مجاورت، ایجاد شده در طول جنگ جهانی دوم، متکی به چیست؟,رادار داپلر,1640673,125
مهم ترین ایالت-شهرهای یونان باستان را نام ببرید.,آتیکا (آتن)، اسپارت، کورِنت، تِب، مگارو آرگوس,1647081,129
جین آئو- یونگ در چه سالی توانست هفت هفته متوالی جایزه فری استایل فرایدی را در بت ۱۰۶ و پارک که برنامه‌ای مختص هیپ هاپ بود، از آن خود کند؟,سال ۲۰۰۲,1617533,110
فرهنگ مینوسی در چه بازه ی تاریخی شکفته بود؟,از سال ۲۵۰۰ تا ۱۴۰۰ پیش از میلاد,1647023,129
سردار رومی چه چیز هایی را پس گرفت؟,سرزمین‌های از دست رفته,1641960,126
اروندرود در کجا قرار دارد؟,,1614465,108
چند درصد از مردم خوزستان در سال 1395، در سکونتگاه‌های روستایی زندگی می‌کردند؟,۲۴/۵ درصد,1614126,108
یک مثال متداول برای اثر داپلر بزنید.,شنیدن صدای ماشینی است که از دور با آژیر نزدیک می‌شود و عبور می‌کند و سپس دور می‌شود,1640460,125
نقاشی رژهٔ ارتش بریتانیا در برابر ملکه ویکتوریا و ناصرالدین شاه قاجار متعلق به چه سالی است؟,۱۸۷۳ م (۱۲۹۰ ه‍.ق),1608525,105
در دوره‌ی رئیس‌الوزرایی رضاخان، چه گروهی بیشترین نقش را در تبلیغات گسترده برای برپایی جمهوری داشت؟,ارتش,1637719,123
درچه سالی اردشیر با خاموش کردن شورش هایی از طرف دیگر برادرهایش که اعدام شدند،خود را حکمران پارس خواند؟,۲۰۸,1641845,126
هندوستان به استعمارچه کسانی درآمده بود؟,انگلیسی‌ها,1602840,101
فشار کپسولی که باعث کشته شدن کشته شدن خدمه آپولو ۱ در آزمایش سکوی پرتاب شد باید چقدر ‌می‌بود؟,باید فشار آن حدود ۱⁄۳ فشار محیط باشد,1625379,114
اکسیژن قبل از سال ۱۶۰۴ توسط چه کسی جداسازی شد؟,مایکل سندی‌ووجیس,1624290,114
در اواخر دوره قاجار ایران به چند بخش تقسیم شده بود؟ ,نوزده بخش,1610310,106
به چه دلیل کمیتهٔ المپیک کویت در ژانویه ۲۰۱۰ به حالت تعلیق درآمد؟,به دلیل دخالت‌های سیاسی دولت این کشور,1648699,130
کلیسای کاتولیک رومی از بزرگ‌ترین کلیساهای کدام دین در جهان است؟,مسیحیت,1630209,118
جمعیت تخمینی عرب‌های استان خوزستان بر‌پایه آمار ذکر شده در سال 1378 چند نفر بوده‌است؟,بین یک میلیون و هشتصد هزار تا دو میلیون نفر,1614129,108
حجم دریای خزر چند کیلومتر مکعب است؟,۷۷۰۰۰۰,1629099,117
رضاشاه پس از رسیدن به پادشاهی و گزیدن نام خانوادگی پهلوی به چه اسمی شناخته شد؟,رضاشاه پهلوی,1637226,123
در کدام کشور کمیسر اطلاعات، پس از اطمینان از اینکه گوگل در دریافت اشتباه اطلاعات، اطلاعات «مهمی» را دریافت نکرده‌است گوگل را تبرئه کرد؟,بریتانیا,1612621,107
اصالت نوش‌آفرین آیرملو چیست؟,گرجی یا ایروانی,1637297,123
ملیون که بود؟,,1637367,123
سامانه‌های خودگردان اینترنت با چه چیزی به هم متصل شده‌اند؟,روتر,1618872,111
آشناترین ترکیب اکسیژن چیست؟,آب,1624918,114
اولین آهنگ رپ فارسی با گرایشی عامه‌پسند توسط چه کسی تولید شد؟,حسن شماعی‌زاده,1617590,110
کشور مکزیک در کدام قاره واقع شده‌است؟,,1606803,104
پایتخت کانادا کجا می باشد؟,اُتاوا,1639070,124
شنای تروجن در چه سالی ابداع شد؟,سال ۱۸۷۸,1645518,128
سیستم عامل آی‌اواس چند نسخه دارد؟,,1621114,112
امپراتور در ژاپن بر اساس کدام معیار انتخاب می‌شود؟,,1623012,113
امیر کبیر در کجا به قتل رسید؟,,1608472,105
بخش عمده در‌آمدهای اقتصادی ژاپن مربوط به چیست؟,صادرات,1623120,113
درجه یاور معادل چیست؟,ستوان,1637289,123
شعار غیررسمی شرکت گوگل چه بود؟,شرور نباشید,1611602,107
داستان موسیقی هیپ هاپ، عموماً درمورد چیست؟,اغلب مربوط به یک همتای خیالی,1616958,110
نتیجه آزمایش‌های مایکل سندی‌ووجیس درمورد ماده موجود در هوا چه بود؟,تشخیص داد که این ماده معادل محصول جانبی گازی است که با تجزیه حرارتی پتاسیم نیترات آزاد می‌شود,1624406,114
در پایان دوره ریاست جمهوری لیندون بنیز جانسون چه چیزهایی باعث شد تا جمهوری‌خواهان مجدداً به حکومت دعوت شوند؟,ناکامی در جنگ ویتنام و رشد روحیه محافظه کاری در میان مردم,1635930,122
اندرو جانسون بعد از قتل لینکلن چه چیزی را در دستور کار خویش قرار داد؟,بازسازی اقتصادی جنوب و مبارزه با آخرین بقایای برده داری,1635758,122
چند تیم اروپایی در نخستین دوره رقابت‌های جام جهانی فوتبال حاضر بودند؟,۴ تیم,1606577,104
 اولین زن نمایشگر ایرانی متعلق به کدام سلسله می باشد؟,ساسانیان,1647367,129
اولین لشکرکشی شاپور دوم به کدام منطقه بود؟,روم در غرب,1642357,126
اقتصاد ژاپن در کدام دهه پیشرفت کرد؟,دهه ۱۹۶۰م,1622950,113
صدای و سیمای مرکز گیلان فعالیت خود را با چه دستگاهی آغاز کرد؟,فرستنده رادیویی ۷۵ واتی که آنتن آن در اداره پست و تلگراف گیلان نصب شده بود,1610538,106
متن بیانیه سید ضیاء بعد از کودتا اسفند 1299 چیست؟,,1637552,123
ژاپن در مقام مقایسه با کشور‌های دیگر در کدام مرتبه قرار می‌گیرد؟,در مقام مقایسه به‌طور تقریبی کشور ژاپن یک بیستم آمریکا، یک نهم هندوستان، یک و نیم برابر بریتانیا و چیزی کمتر از یک چهارم ایران است.,1622451,113
اکسیژن سطح دریا از کجا خارج و به سمت کجا افزایش می‌یابد؟,در اطراف استوا خارج شده و به سمت قطب‌ها افزایش می‌یابد,1624742,114
نامزد جمهوری‌‌خواهان در نخستین انتخابات ریاست جمهوری پس از تأسیس این حزب، که بود؟,جان فریمونت,1635694,122
چرا امروزه مردم‌شناسان، جوامع ابتدایی را فرو دستانه برآورد نمی کنند؟,آن‌ها دریافته‌اند که اگرچه جوامع پیشرفته از دانش تخصصی و فنون بهره‌مندی بیشتری دارند، اما در مقابل، غالباً از نظر همبستگی و یکپارچگی ویژه‌ای که در جوامع کمتر پیشرفته وجود دارد، دچار کمبود قابل توجهی هستند,1646910,129
کریستیان یوهان دوپلر کیست؟,فیزیکدان اتریشی,1640405,125
هیئت مدیره بین‌المللی واترپلو و کمیته بین‌المللی شنا در چه سالی پا گرفتند؟,سال ۱۹۲۸,1645631,128
قبل از عرضه اولیه، چه سهمی از گوگل در اختیار یاهو بود؟,۸٫۴ میلیون,1611830,107
چند نفر از مجلس نمایندگان ژاپن را زنان تشکیل داده‌اند؟,,1623011,113
ون گوگ توسط چه کسی به قتل رسید؟,یک مراکشی,1631571,119
برنامه ی مسابقات شنای مردان در المپیک تا سال 1952 شامل چه رقابت هایی می شد؟,رقابت‌های کرال سینه، کرال پشت و قورباغه,1645574,128
لئونارد کلینراک تئوری‌ مسیریابی سلسله مراتبی را در چه سالی ارائه کرد؟,سال ۱۹۶۷,1619112,111
چرا در بین مرزها بازرگانی و ازدواج و حتی جاسوسی را ممکن می‌ساخت؟,رفت‌وآمد بین مرزها آزاد بود,1642073,126
مهندس گوگل امیت پاتل، شعار غیر رسمی شرکت گوگل را در چه سالی ثبت کرد؟,,1611605,107
ساختمان اصلی گوگل به چه نامی شناخته می‌شود؟,گوگل‌پلکس,1612164,107
اولین خواننده هیپ هاپ در فرانسه چه کسی بود؟,,1617653,110
ژاپن از چند جزیره تشکیل شده‌است؟,بیش از ۶۸۰۰ جزیره,1622386,113
نام 3 خواهر ناتنی رضاه چیست؟,,1637301,123
در لغت‌نامه دهخدا واژه گیلان به چه معناست؟,محل سکونت گیل‌ها,1609793,106
 دلیل کافی برای کشف اکسیژن توسط سندی‌ووجیس از دیدگاه بوگاج چیست؟,جداسازی اکسیژن و ارتباط مناسب ماده با آن قسمت از هوا که برای زندگی لازم است,1624407,114
جان دالتون درمورد جرم اتمی اکسیژن به چه نتیجه‌ای رسیده‌‌بود؟,به این نتیجه رسید که جرم اتمی اکسیژن ۸ برابر بیشتر از هیدروژن است,1624572,114
میان‌رودان تحت سلطه کدام کشور بود؟,ایران,1642074,126
قدمت شنا کردن به حدود چند سال قبل از میلاد بر می گردد؟,,1645407,128
هنرهای هفتگانه را نام ببرید.,,1647368,129
یکی از پرفروش‌ترین آلبوم‌های سال ۲۰۰۵ برای چه گروهی بوده؟,گروه رپ سندیکای بلگراد,1617816,110
در طی لشگرکشی چه کسی به مسیحیانی که در لشکرش بودند مشکوک شد و آن‌ها را از حکومت و ارتش اخراج کرد؟,یزدگرد دوم,1642689,126
اولین وب سایتی که در شبکه قرار گرفت درمورد چه بود؟,,1618996,111
پرچم امویان بر طبق گفتهٔ طبری به چه رنگی بوده‌است؟,سفید,1607966,105
جاذبه‌های تاریخی تفرش را نام ببرید؟,,1626436,115
چرا بسیاری از وزارتخانه‌ها و سفارتخانه‌ها هلند خارج از پایتخت آن مستقر شده‌اند؟,تمرکززدایی,1631393,119
در چه بازه ی زمانی فدراسیون‌های ملی شنا در چندی از کشورهای اروپایی شکل گرفتند؟,در سال ۱۸۸۲ تا ۱۸۸۹,1645466,128
برای مردم عراق عجم، منطقه‌ خزر همسایه چگونه است؟,جهانی درهم برهم و واژگون هویت خودشان است,1610485,106
پزشکی پرفشار چیست؟,یک درمان پزشکی است,1625203,114
در بعضی از گویش‌های رایج در استان خوزستان «بختیاری» برای ادای حرف «خ» از چه حرفی بهره می‌گیرد؟,«ح»,1614071,108
درفش کاویانی چه زمانی ازبین رفت؟,پس از سرنگونی ساسانیان,1641789,126
مجتمع کاغذسازی هفت‌تپه به تولید چه چیزی می‌پردازد؟,استفاده از ضایعات نیشکر به تولید کاغذ می‌پردازد,1614463,108
آخرین فرمانروای زند کیست؟,لطفعلی خان,1602673,101
بلشویک‌ها که بودند؟,,1637428,123
سه عنصر فراوان در کیهان را نام‌ ببرید؟,هیدروژن و هلیوم، اکسیژن,1624234,114
خطوط زمینی پهن باند از چه طریقی است؟,از طریق کابل کواکسیال، فیبر نوری یا سیم مسی,1619771,111
پا زدن در شنای پروانه شبیه به پا زدن در کدام حرکت شنا است؟,کرال سینه,1627714,116
مرادعلی خان در کدام سال خورشیدی در جنگ کشته شد؟,۱۲۳۵,1637293,123
دفتر مرکزی شرکت یاهو در کجا قرار دارد؟,,1611831,107
معاون لینکلن چه کسی بود؟,اندرو جانسون,1635757,122
زبان رسمی کشور کانادا چیست؟,,1639073,124
 امروزه پذیرفته ‌ترین نظریه درباره ی خاستگاه تئاتر چیست؟,منشأ آئینی امروز پذیرفته‌ترین نظریه دربارهٔ خاستگاه تئاتر است,1646911,129
چرا تجارت قند و چای در انحصار ایران بود؟,,1637843,123
شنای پروانه نیاز به چه چیزی دارد تا صورت بگیرد؟,تکنیک مناسب,1627661,116
در سال 1950 گیلان به چند شهرستان تقسیم شده بود؟,پنج شهرستان,1610312,106
ابن فقیه همدانی در کتاب «اخبار البلدان» آورده‌است که :آبادی طبرس در سده اول هجری از تعلقات کجا بوده؟,همدان,1626551,115
تئاتر در کدام دسته از هنرها جای می گیرد؟,تئاتر یکی از شاخه های  هنرهای نمایشی است,1646746,129
خواننده رپ با چه چیزی همراهی می‌شود؟,«بیت»,1616960,110
به کدام قسمت اروپا، اروپای جوان گفته می‌شود؟,,1605287,103
کتاب محبوب باغ گیاه‌شناسی اثر کیست؟,اراسموس داروین,1624519,114
منظور از میانه‌روها چیست؟,,1635523,122
در انتخابات ریاست جمهوری سال ۱۹۲۰ آمریکا وارن گامالیل هاردینگ چه کسی را شکست داد؟,جیمز کاکس دموکرات,1635816,122
پاسارگاد در فارسنامه ابن بلخی به چه نامی ذکر شده‌است؟,کمه,1615633,109
تراژدی کمدی های دوره ی نئو کلاسیک را بیشتر با چه عنوانی نام می برند؟,بیشتر با عنوان «عشق در برابر شرف» یا «شنل و شمشیر» یا «عشق و وظیفه» نام می‌برند,1647479,129
اولین بار در چه تاریخی مسابقه ی شنا در مسافت ۴۴۰ یارد در استرالیا برپا شد؟,سال ۱۸۴۶,1645463,128
چند بازی چند نفره نام ببرید؟,,1619939,111
چند مورد از سوغاتی‌های استان گیلان را نام ببرید؟,محصولات کشاورزی و دامی، پرندگان، ماهی‌ها، ترشیجات و مربا، صنایع دستی ابریشمی، چوبی و حصیری از جمله سوغاتی‌های گیلان هستند,1610198,106
مرز بین دو گویش عمده خاوری و باختری کجاست؟,سفیدرود,1609967,106
معنای لغوی تئاتر چیست؟,,1647480,129
اینترنت در چه سال‌هایی دوره‌های کوتاهی از رشد انفجاری داشته‌است؟,سال‌های ۱۹۹۶و۱۹۹۷,1619226,111
