question,answer,model_answer,id,context_id,clean_model_answer,is_correct
چه چیزی در استان خوزستان قابلیت بالقوهٔ کشاورزی فراوانی ایجاد کرده‌است؟,ساختار جلگه‌ای استان خوزستان,آب و هوای مناسب و منابع آبی,1614462,108,آب و هوای مناسب و منابع آبی,False
بعد از لیندون بنیز جانسون چه کسی رئیس جمهور شد؟,ریچارد نیکسون,ریچارد نیکسون,1635932,122,ریچارد نیکسون,True
مدار ژئوسنکرون زمین در چه فاصله‌ای از سطح زمین است؟,۳۶۰۰۰ کیلومتری,حدود ۳۵۷۸۵ کیلومتر,1633021,120,حدود ۳۵۷۸۵ کیلومتر,False
علی بن موسی الرضا چگونه به شهادت رسید؟ ,,سم,1607979,105,سم,False
در قرن ۴ام اسلامی برای جمع‌آوری قرائت‌های مختلف قرآنی برای هر قاری چند راوی قرار دادند؟,دو,چهار راوی,1601393,100,چهار راوی,False
کادوسیان بنابر استرابو در کجا می‌زیستند؟,در کرانه جنوب غرب دریای خزر و جنوب ارس بین آلبانی در شمال و ماردی در شرق یعنی در بخش کوهستانی مادیه پیرامون پاراچوآتراس,دریای کاسپین,1609849,106,دریای کاسپین,False
ماهواره‌های مدارات قطبی جهت چه کاری مورد استفاده قرار می‌گیرند؟,مشاهدۀ سطح زمین,نقشه‌برداری و پایش زمین,1632805,120,نقشه‌برداری و پایش زمین,True
در سال 1963، کدام شهرستان کوچک در شمال به گیلان ملحق شد؟,آستارا,شهرستان تالش,1610316,106,شهرستان تالش,False
نسخه‌های تست بتا به وسیله ی چه گروهی اجرا شد؟,به وسیلهٔ گروهی غیر از تولیدکنندگان,بازیکنان منتخب,1644189,127,بازیکنان منتخب,False
در چه سالی دوپلر مقاله ای راجع به اثر دوپلر بر روی همه ی امواج نوشت؟,۱۸۴۲,سال ۱۸۴۲,1640407,125,سال ۱۸۴۲,True
آزمایش های سندی‌ووجیس در چه کتابی منتشر شده؟,در مورد احتراق,کتاب «آزمایش‌های سندی‌ووجیس»,1624460,114,کتاب «آزمایش‌های سندی‌ووجیس»,False
