question,answer,model_answer,id,context_id
کلیسای کاتولیک اهداف خود را بر چه چیزی تعریف می‌کند؟,گسترش انجیل عیسی مسیح، مدیریت کلیسا از طریق حاکمیت دینی و اعمال خیریه تاسیس بیمارستان، یتیم خانه و مدرسه,<ANSWER>اهداف آن بر پایه‌های کلامی و دینی</ANSWER>,1630273,118
طبق نظر غالب محققان الگوی تکاملی تئاتر در جوامع مختلف به چه صورت می باشد؟,غالب محققان این نظر را که تئاتر در همهٔ جوامع از الگوی تکاملی واحدی پیروی کرده‌است و رد می‌کنند,<ANSWER>به‌طور موازی</ANSWER>,1646912,129
امپراتوری ایران با کدام منطقه در صلح وآرامش بود؟,دشمنان شرقی,هند,1642413,126
باشگاه شنای متروپولیتین لندن بعدها به چه چیزی تغییر نام پیدا کرد؟,انجمن شنای غیر حرفه‌ای,<ANSWER>باشگاه شنای متروپولیتین لندن</ANSWER>,1645465,128
چه چیزی به آهنگسازان هیپ هاپ اجازه داد تا حدودی پارتیتورهای اولیه را به دست آورند؟,ظهور طبل برقی,سمپلرها و صفحات گردان,1617074,110
فرهنگ میان‌رودان چگونه بوده است؟,,<ANSWER>به‌وسیلهٔ مجموعه‌ای از اعمال دینی و آداب و رسوم مذهبی</ANSWER>,1613848,108
مدار ژیودزیکی چیست؟,,<ANSWER>مسیری است که یک جسم در حال سقوط آزاد در فضا-زمان طی می‌کند</ANSWER>,1632687,120
توپولوژی چیست؟,,<ANSWER>شاخه‌ای از ریاضیات</ANSWER>,1619056,111
در کدام دهه در هرسال اینترنت رشدی صد درصدی نسبت به سال قبل خود داشته‌است؟,در دهه ۹۰,<ANSWER>دههٔ ۹۰ میلادی</ANSWER>,1619225,111
کاسپین صفت وصفی یا نسبی در زبان‌های انگلیسی و فرانسوی برای کدام واژه است؟,کاسپی,<ANSWER>دریای خزر</ANSWER>,1629046,117
اکسیژن چگونه اجازه می‌دهد تا احتراق به سرعت و پرانرژی انجام شود؟,با غلظت و تراکم بالا,<ANSWER>به‌عنوان یک عامل اکسیدکننده</ANSWER>,1625375,114
ابن فقیه همدانی در کتاب «اخبار البلدان» آورده‌است که آتش آذرگشنسب تا چه سالی روشن بوده‌است؟,سال ۲۷۴ خورشیدی,<ANSWER>سال ۳۰۰ هجری قمری</ANSWER>,1626552,115
تاریخ ژاپن از کجا آغاز می‌گردد؟,آغاز تاریخ ژاپن، با مردمانی از نژاد آینو و مغول به سده‌های پیش از میلاد مسیح بازمی‌گردد,<ANSWER>پیش از تاریخ</ANSWER>,1622619,113
اروگوئه‌ای‌ها به چه علت مسابقات جام جهانی ایتالیا را تحریم کردند؟,از گسترش فاشیسم در ایتالیا ناراضی بودند,<ANSWER>به این دلیل که ایتالیا در سال ۱۹۳۰ مسابقات جام جهانی را تحریم کرده بود</ANSWER>,1606634,104
مسابقات جام جهانی سال ۱۹۳۸ با حضور چند تیم برگزار شد؟,۱۵ تیم,<ANSWER>۱۵ تیم</ANSWER>,1606800,104
نظام آموزشی کانادا را شرح دهید.,,<ANSWER>تحت کنترل استان‌ها و مناطق</ANSWER>,1639240,124
یکی از سرویس‌های ارتباطی مهم در دسترس بر روی اینترنت را نام ببرید؟,پست الکترونیک,ایمیل</ANSWER>,1619603,111
مشهورترین خوراکی استان گیلان از نظرجهانگردان چیست؟,,<ANSWER>کباب ترش</ANSWER>,1610205,106
در سال 652 هجری در گیلان شهر چگونه شکل می‌گرفت؟,با جمع شدن مردم به‌طور موقت در یک روز و تشکیل بازار یا «گوراب» که از همان انبوهه و گروه گرفته شده بود شکل می‌گرفت,<ANSWER>در اطراف بازارهای محلی و قلعه‌ها</ANSWER>,1610257,106
دلیل تأثیر منفی ارتفاع زیاد چیست؟,رقیق شدن سریع اکسیژن روی انسان,<ANSWER>کاهش فشار هوا</ANSWER>,1625317,114
چه کسانی مدت‌ها منبع محبوبی برای بریک بودند؟,جیمز براون، باب جیمز، و پارلیامنت,<ANSWER>موسیقی فانک و سول</ANSWER>,1617019,110
رضاشاه در جوانی به نام ناحیه‌ای که از آن برخاسته بود نامیده می‌شد، آن نام چیست؟,رضا سوادکوهی,<ANSWER>رضاشاه مازندرانی</ANSWER>,1637219,123
دونالد ترامپ چندمین رئیس جمهور آمریکا بود؟,,<ANSWER>چهل و پنجمین</ANSWER>,1635466,122
شهر رم در کدام کشور است؟,ایتالیا,<ANSWER>ایتالیا</ANSWER>,1630276,118
کدام مورخان نگاه سنتی در برابر روش گردآوری قرآن را رد کرده‌اند؟,مایکل کووک و پاتریکا کرون,جان برتون، آلفونس مینگانا، و پاتریشیا کرون,1601283,100
نقاشی‌ بازدید ناصرالدین شاه از کشور روسیه در سال ۱۸۷۳ م (۱۲۹۰ ه‍.ق)  که شاه را سوار بر اسب در کنار الکساندر دوم امپراتور وقت روسیه می‌نمایاند در کدام موزه نگهداری می‌شود؟,موزهٔ ارمیتاژ روسیه,<ANSWER>کاخ‌موزه گلستان</ANSWER>,1608577,105
کدام‌یک از پادشاهان به آئین بودا معتقد بودند؟,,<ANSWER></ANSWER>,1622785,113
شنا کردن را تعریف کنید.,شناکردن عبارت است از حرکات منظم دست‌ها و پاها و به‌طور کلی بدن که امکان پیشروی موجودات زنده در آب را ممکن می‌سازد.,<ANSWER>به حرکت در آب</ANSWER>,1645294,128
چه کسی اولین تئاتر زنان ایرانی را راه اندازی کرد؟,امیر سعادت,<ANSWER>مریم بانو افخمی</ANSWER>,1647419,129
مایکل سندی‌ووجیس در سال ۱۶۰۴ چه ماده ای را شرح داد؟,ماده موجود در هوا,<ANSWER>فلسفهٔ سنگی</ANSWER>,1624404,114
مهم‌ترین استان کانادا از لحاظ اقتصادی و سیاسی را نام ببرید.,انتاریو,<ANSWER>استان انتاریو</ANSWER>,1639125,124
نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» چه کسی است؟,,<ANSWER>رضی‌الدین قزوینی</ANSWER>,1608633,105
چند اماکن عمومی که می‌توان در آن‌ها از اینترنت استفاده نمود نام ببرید؟,کتابخانه‌ها و کافی‌نتها,هتل‌ها، کتابخانه‌ها، کافه‌ها، فرودگاه‌ها، مراکز خرید، قطارها، و دانشگاه‌ها,1619772,111
ارشد‌الدوله که بود؟,,<ANSWER>یکی از سرداران سلطان مسعود غزنوی</ANSWER>,1637365,123
وظیفه پی بندی و استانداردسازی پروتکل‌های هسته‌ای اینترنت، پروتکل اینترنت نسخه ۴ و پروتکل اینترنت نسخه ۶ بر عهده چه گروهی است؟,گروه ویژه مهندسی اینترنت,<ANSWER>نیروی کار مهندسی اینترنت</ANSWER>,1618992,111
در کدام سواحل و در چه تاریخی از شنا در آب به عنوان وسیله‌ای برای درمان استفاده می‌شد؟,سواحل بریتانیای کبیر در اواخر قرن ۱۷ میلادی,<ANSWER>کرانه دریای مدیترانه و از قرن هجدهم به بعد</ANSWER>,1645459,128
کدام حزب ایالات متحده آمریکا با نام جی‌او‌پی یا حزب بزرگ قدیمی نیز شناخته می‌شود؟,حزب جمهوری‌خواه,<ANSWER>حزب جمهوری‌خواه</ANSWER>,1635457,122
اشتراک نظر لوی استروس با مکتب کارکرد گرایی چیست؟,لِوی استروس همچون پیروان مکتب کارکرد گرایی، داروینیسم فرهنگی را رد می‌کند و معتقد است که هر جامعه‌ای خط فرهنگی خاصهٔ خود را به وجود می‌آورد,<ANSWER>رویکرد همسان‌سازی</ANSWER>,1646856,129
در ابتدای تأسیس گوگل در سال ۱۹۹۸ تا اوت ۲۰۰۱، چه کسی مدیر ارشد اجرایی گوگل بود؟,لری پیج,لری پیج</ANSWER>,1611995,107
شبکه استانی صدای مرکز گیلان دارای چند بخش است؟,دو بخش برون مرزی رادیو گرجی و رادیو تالشی,<ANSWER>۶ بخش</ANSWER>,1610540,106
چرا پادشاهان در قرن هشتم دست از زندگی مجلل و اشرافی خود برداشتند؟,برخی از پادشاهان این دوره بعلت گرایش به آئین بودا و تعصب در این دین دست از زندگی مجلل و اشرافی خود برداشتند.,<ANSWER>این اتفاق نیفتاده است</ANSWER>,1622784,113
در سال 1909، چه کسی جام توماس لیپتون را در شهر تورین برگزار کرد؟,سر توماس لیپتون,<ANSWER>باشگاه فوتبال وست آکلند</ANSWER>,1606520,104
پنتاگون کجاست؟,مقر و فرماندهی وزارت دفاع ایالات متحدهٔ آمریکا,<ANSWER>آرلینگتون، ویرجینیا</ANSWER>,1618875,111
کمدی تا چه سالی به دیونوسیای شهر راه نیافت؟,تا سال‌های ۴۸۷–۴۸۶,<ANSWER>۴۸۷ پ.م</ANSWER>,1647139,129
بزرگترین و مهم‌ترین زن نمایشگر و خدای‌نامه‌خوان پس از اسلام کیست؟,همسر فردوسی,<ANSWER>گلچهره</ANSWER>,1647366,129
چه سرویسی با پیدایش اینترنت امکان‌پذیر شد؟,تلفن اینترنتی,پست الکترونیکی</ANSWER>,1619658,111
یکی از نکات مورد اختلاف بین ساسانی‌ها و رومی‌ها چه بوده‌است؟,ارمنستان,سلطه بر ارمنستان و بین‌النهرین,1642075,126
در بمباران اتمی هیروشیما و ناکازاکی، در ژاپن چند نفر جان خود را از دست دادند؟,,<ANSWER>بین ۱۵۰٬۰۰۰ تا ۲۵۰٬۰۰۰ نفر</ANSWER>,1622333,113
عمره ترین شرکای تجاری ژاپن کدام کشور‌ها هستند؟,آمریکا با ۲۲٫۷٪، چین با ۱۳٫۱٪ و کره جنوبی با ۷٫۸٪ عمده‌ترین شرکای تجاری این کشور هستند.,کره جنوبی، آمریکا، استرالیا و چین,1623121,113
وب توسط چه کسی اختراع شد؟,دانشمندی انگلیسی به نام تیم برنرز لی,<ANSWER>تیم برنرز لی</ANSWER>,1619168,111
نام جمهوری‌خواه از چه چیزی اقتباس گردید؟,از نام حزب جمهوری‌خواهان دموکراتیک که در ابتدای قرن نوزدهم توسط توماس جفرسون بنیان گذاشته شد,<ANSWER>ایدئولوژی جمهوری‌خواهی</ANSWER>,1635637,122
ساختمان دارالفنون در کدام قسمت تهران قرار گرفته‌است؟,مرکز شهر تهران,<ANSWER>خیابان ناصرخسرو</ANSWER>,1603949,102
تاریخ بلعمی پرچم امویان را به چه رنگی توصیف کرده‌است؟,سبز,<ANSWER>سفید</ANSWER>,1607967,105
به منظور تمرکززدایی بسیاری از وزارتخانه‌ها و سفارتخانه‌ها هلند در کدام شهر مستقر شده‌اند؟,لاهه,<ANSWER>لاهه</ANSWER>,1631394,119
قران توسط زید بن ثابت طی چه مدتی جمع آوری شد؟,۱۴ ماه و تا زمان فوت ابوبکر در سال ۱۳ هجری,<ANSWER>دو سال</ANSWER>,1601175,100
در شنای پروانه، پاها حدود چند سانتی‌متر در زیر آب است؟,۳۰ سانتی‌متر,<ANSWER>حدود ۴۰ تا ۵۰ سانتی‌متر</ANSWER>,1627717,116
تعداد دانلود اَپ استور در ۶ مارس ۲۰۱۲ چقدر بود؟,بیش از ۲۵ بیلیون بار,<ANSWER>۲۵ میلیارد بار</ANSWER>,1621051,112
روستای آلاشت از توابع کجاست؟,سوادکوه,<ANSWER>شهرستان سوادکوه</ANSWER>,1637286,123
چگونه هلند با بریتانیا هم‌جوار است؟,دریا,آنها با دریای شمال از هم جدا شده‌اند.,1631397,119
«آئین‌نامه نظامی قواعد مشق و حرکات پیاده‌نظام دولت علیّه ایران» در چه زمانی به چاپ رسید؟,رمضان ۱۲۶۸ ه‍.ق (اوایل صدارت میرزا آقا خان نوری),<ANSWER>سال ۱۲۹۲ هجری قمری</ANSWER>,1608631,105
فروش ۱٫۶۷ میلیارد دلاری سهام گوگل، سرمایه این شرکت را به چه قیمتی رساند؟,بیش از ۲۳ میلیارد دلار,<ANSWER>حدود ۲۳ میلیارد دلار</ANSWER>,1611829,107
اولین مردی که شنای 100متر کرال سینه را زیر یک دقیقه شنا کرد کیست؟,,<ANSWER>جانی ویسمولر</ANSWER>,1645523,128
پایه اسیدها را چه چیزی تشکیل می‌دهد؟,هیدروژن,<ANSWER>یون‌های هیدروژن</ANSWER>,1624518,114
در سال 2006 تعداد روستاهای مسکون گیلان به چقدر کاهش یافت؟,۲۶۸۶,<ANSWER>۲۴۵۰</ANSWER>,1609907,106
دو فضای نام اصلی اینترنت، نشانی پروتکل اینترنت و سامانه نام دامنه توسط چه سازمانی راهبری می‌شوند؟,آیکان,<ANSWER>آیکان</ANSWER>,1618990,111
پاپک درچه تاریخی موفق به سرنگون کردن گوچهر از خاندان بازرنگیان شد؟,در سال ۲۰۰,<ANSWER>سال ۲۰۰ میلادی</ANSWER>,1641841,126
خاندان هوجو به کدام خاندان حکومت را واگذار کرد؟,خاندان هوجو در جدال بر سر قدرت، حاکمیت را به خاندان آشیکاگا واگذار کرد.,<ANSWER>آشیکاگا</ANSWER>,1622842,113
نام کامل ون گوگ چیست؟,تئو فان خُخ,<ANSWER>وینسنت ویلم ون گوگ</ANSWER>,1631568,119
واژهٔ گوگول بعد از اختراع شدن توسط میلتون سیروتا در چه کتابی نوشته شد؟,ریاضیات و تخیل,کتاب ریاضیات و تخیل,1611767,107
در بازی‌های آسیایی ۱۹۹۰ پکن چند ورزش المپیکی و چند ورزش غیر المپیکی باهم به رقابت پرداختند؟,۲۸ ورزش المپیکی و ۱۴ ورزش غیر المپیکی,<ANSWER>۲۷ ورزش المپیکی و ۶ ورزش غیر المپیکی</ANSWER>,1648534,130
فتح هویزه در چه سالی اتفاق افتاد؟,,<ANSWER>سال ۱۳۵۹</ANSWER>,1614297,108
رضاخان به نصیحت چه کسانی مبنی بر ادامهٔ نظام پادشاهی و عدم تأسیس جمهوری گوش کرد؟,روحانیون بلند مرتبهٔ شیعه,<ANSWER>رضاخان به نصیحت سید حسن مدرس، محمدحسین امامی خمینی و همچنین احمد قوام مبنی بر ادامهٔ نظام پادشاهی و عدم تأسیس جمهوری گوش کرد.</ANSWER>,1637722,123
چند نفر در سراسر دنیا بازی فینال جام جهانی سال ۲۰۰۶ را بصورت زنده مشاهده کردند؟,۷۱۵٫۱ میلیون نفر,۷۱۵ میلیون نفر,1606457,104
در سال 1378، چند درصد کل جمعیت روستایی استان خوزستان را عرب‌ها در برمی‌گرفتند؟,۳۸ درصد,<ANSWER>۶۴ درصد</ANSWER>,1614128,108
در راس کلیسای کاتولیک چه کسی قرار دارد؟,اسقف اعظم رم,<ANSWER>پاپ</ANSWER>,1630212,118
تلاش های ایبریایی ها باعث چه چیزی شد؟,درگرفتن جنگی بین ایران و روم شد,<ANSWER>کشف قاره آمریکا</ANSWER>,1642913,126
در سال 1950، گیلان به چه شهرستان‌هایی تقسیم شده بود؟,طوالش، فومن، بندر پهلوی (انزلی)، رشت و لاهیجان,<ANSWER>رشت، لاهیجان، رودبار و فومن</ANSWER>,1610314,106
نور مرئی چیست؟,,<ANSWER>بخشی از طیف الکترومغناطیسی</ANSWER>,1640513,125
یزگرد دوم به کجا لشکر کشید؟,غرب,<ANSWER>ارمنستان</ANSWER>,1642692,126
فرح کریمی به نمایندگی از کدام حزب در مجلس هلند حضور داشته‌است؟,سبزها,<ANSWER>حزب سبزهای چپ</ANSWER>,1631509,119
دانشگاه جندی شاپور را چه کسانی بنیان‌گذاردند؟,ساسانیان,<ANSWER>شاپور یکم</ANSWER>,1613900,108
اولین رهبر مسیحیان کاتولیک جهان چه کسی بود؟,,<ANSWER>پطرس</ANSWER>,1630335,118
در ژاپن چند گونه گیاهی وجود دارد؟,بین ۴۰۰۰ تا ۶۰۰۰ گونه گیاهی,<ANSWER>نزدیک به ۴۷۰۰</ANSWER>,1622503,113
اندکی بعد از کودتا اسفند 1299 بیانیه‌های تند و تیزی، یکی از سوی سید ضیاء و دیگری از سوی رضاخان، صادر شد که دربارهٔ چه بود؟,نجات کشور و سلطنت از دست خائنان و نالایقان و بازسازی آن,اعلام حکومت نظامی و اجرای احکام آن,1637548,123
چند تیم در مسابقات جام جهانی سال 1934 در ایتالیا حضور داشتند؟,۱۶ تیم,<ANSWER>۱۶ تیم</ANSWER>,1606633,104
چند درصد از مردم گیلان گویش خاوری دارند؟,,<ANSWER>۷۲٫۷ درصد</ANSWER>,1609972,106
به کسی که نرم‌افزار رایانه می‌نویسد چه چیزهایی می‌گویند؟,برنامه‌نویس، برنامه‌نویس رایانه، توسعه‌دهنده، کدنویس، یا مهندس نرم‌افزار,<ANSWER>برنامه‌نویس و مهندس نرم‌افزار</ANSWER>,1634127,121
اگر جسمی به سمت زمین در حرکت باشد، از نظر چشم غیرمترقبه در نور مرئی چه میزان متفاوت است؟,تفاوت محسوسی وجود نخواهد داشت,<ANSWER>افزایش اندازه ظاهری</ANSWER>,1640568,125
علت نام گذاری شنای تروجن چیست؟,نام نخستین نمایش دهنده آن (جیمز تروج) بر روی آن نهاده شده‌است,<ANSWER>به دلیل ماهیت پنهان و نفوذپذیر آن</ANSWER>,1645519,128
چه کسی هفت هفته متوالی جایزه فری استایل فرایدی را در بت ۱۰۶ و پارک که برنامه‌ای مختص هیپ هاپ بود، را از آن خود کرد؟,یک هنرمند رپ چینی- آمریکایی به نام جین آئو- یونگ,<ANSWER>جین</ANSWER>,1617532,110
به چه دلیل گیلان در سال 1395، استان بدون بار امنیتی عنوان شد؟,دغدغه ای از لحاظ امنیت در سطح کلان در گیلان نداشته‌اند و براساس ارزیابی‌های وزارت کشور ایران، دغدغه ای از لحاظ امنیت در سطح کلان در این استان نبوده‌است,<ANSWER>کاهش جرم و جنایت</ANSWER>,1610371,106
شاپور دوم چه سیاستی را درپی گرفت؟,سیاست دینی بی‌رحمانه,<ANSWER>مذهب گرایی و جنگ</ANSWER>,1642409,126
چگونه از پزشکی پرفشار برای بهبودی بیمار استفاده می‌شود؟,استفاده از اکسیژن در فشار بالاتر از فشار اتمسفر، و تسریع درمانی برای بیماری کاهش فشار با هدف کاهش اثرات مضر حباب‌های گاز با کاهش اندازه آن‌ها و فراهم کردن شرایط بهبودی بیمار,<ANSWER>مکانیسم بهبود توسط اکسیژن درمانی پرفشار</ANSWER>,1625205,114
چند پروتکل که روی وب استفاده می‌شود را نام ببرید؟,,<ANSWER>HTTP، FTP، و SMTP</ANSWER>,1619498,111
اروپا چندمین قاره جهان از نظر تراکم جمعیت است؟,دومین,<ANSWER>دومین قاره</ANSWER>,1605122,103
فیس‌بوک در چه سالی در دسترس عموم قرار گرفت؟,,<ANSWER>سال ۲۰۰۶</ANSWER>,1619829,111
علت مرگ هاردینگ چه بود؟,,<ANSWER>نارسایی قلبی</ANSWER>,1635878,122
منظور از شیطان سرخ چیست؟,اتحاد شوروی,<ANSWER>لقب منچستر یونایتد</ANSWER>,1635995,122
چند روز بعد از به تصویب رسیدن سیزدهمین اصلاحیه قانون اساسی ایالات متحده آمریکا آبراهام لینکلن به قتل رسید؟,۵,<ANSWER>۷۴ روز</ANSWER>,1635756,122
در رومانی، بی. یو. جی. مافیا از کجا ظهور کرد؟,پنتلیمون بخارست,بوخارست,1617704,110
غواصان و خدمه زیردریایی‌ها از چه چیزی استفاده می‌کنند؟,از اکسیژن مصنوعی متناسب با فشار,اطلاعاتی در این زمینه در دسترس نیست.,1625261,114
قطعه‌سازی که اغلب از آن تحت عنوان «بیت» یاد می‌شود توسط چه کسی نواخته می‌شود؟,یک دی جی,<ANSWER>نوازندهٔ درام</ANSWER>,1616961,110
در چه سالی کمپانی گوگل اعلام کرد که قصد دارد صدها باتری خورشیدی نصب کرده و تا ۱٫۶ مگاوات نیروی برق تولید کند؟,سال ۲۰۰۶,<ANSWER>سال ۲۰۰۷</ANSWER>,1612280,107
پل باران در مطالعه جامع خود که برای نیروی هوایی ایالات متحده آمریکا منتشر کرده بود چه پیشنهادی داده بود؟,که برای دستیابی به استحکام و مقاومت در برابر حوادث از راه‌گزینی بسته کوچک استفاده شود,<ANSWER>شبکه ارتباطی توزیع‌شده</ANSWER>,1619108,111
دلیل اصلی خارج شدن ۳ تن از فرزندان حسین‌علی میرزا فرمانفرما از ایران به بریتانیا چه بود؟,,<ANSWER>ادامه تحصیل</ANSWER>,1608418,105
در کدام کشور میزبان جام جهانی، قبل ازآغاز مسابقات، زلزله ویرانگر و ۹٫۵ ریشتری شیلی رخ داد؟,شیلی,شیلی,1606747,104
سلطان تنجی در دوران سلطنت خود چه‌کار هایی انجام داد؟,وی بر خلاف گذشته که امپراتور فقط ریاست قبایل را بر عهده داشت حکومت را مرکزیت قدرت کشور گردانید و این قدرت تمامیت‌خواهی را در سراسر امپراتوری برقرار کرد.,<ANSWER>او اولین مجموعه قوانین ژاپن را تدوین کرد و سیستم ثبت رسمی خانوار را بنا نهاد</ANSWER>,1622727,113
در چه تاریخی با دادخواستی که توسط دادگاه فدرال کالیفرنیا علیه گوگل تنظیم شد، گوگل را ملزم به پرداخت 5 میلیارد دلار کرد؟,ژوئن ۲۰۲۰,<ANSWER>۲۰ ژوئن ۲۰۲۳</ANSWER>,1612338,107
حرکات منظم دست‌ها و پاها و به‌طور کلی بدن که امکان پیشروی موجودات زنده در آب را ممکن می‌سازد؛ چه می نامند؟,شناکردن,<ANSWER>شنا</ANSWER>,1645295,128
ارسطو راجع به کمدی چه می گوید؟,ارسطو می‌گوید کمدی از نمایش بدیهه سازی‌های سرخوانِ آوازه‌های آئینی فالیک بیرون آمده‌است,<ANSWER>کمدی تقلیدی از افراد پست‌تر از حد متوسط است</ANSWER>,1647140,129
اینترنت از چه شبکه‌هایی تشکیل شده؟,از میلیون‌ها شبکه خصوصی، عمومی، دانشگاهی، تجاری و دولتی در اندازه‌های محلی و کوچک تا جهانی و بسیار بزرگ تشکیل شده‌است,<ANSWER>شبکه‌های خصوصی، عمومی، دانشگاهی، تجاری و دولتی</ANSWER>,1618933,111
روم کنترل کدام مناطق را به دست می گرفت؟,پنج ساتراپی بین دجله و ارمنستان,<ANSWER>حوضه مدیترانه</ANSWER>,1642245,126
مرکز زمین در کجای مسیر ماهواره‌ها قرار دارد؟,مرکز این مسیر یا در نقطۀ کانونی آن,<ANSWER>در مرکز مدارشان</ANSWER>,1632748,120
وارن گامالیل هاردینگ در انتخابات ریاست جمهوری سال ۱۹۲۰ آمریکا نامزد کدام حزب بود؟,جمهوری‌خواهان,<ANSWER>حزب جمهوری‌خواه</ANSWER>,1635815,122
وب جهان گستر چیست؟,مجموعه‌ای جهانی از اسناد و تصاویر و سایر منابعی است که به وسیله ابرپیوندها با یکدیگر ارتباط منطقی دارند,<ANSWER>فضایی است که در آن اسناد و سایر منابع وب توسط شناسه‌های یکتای جهانی مشخص شده‌اند</ANSWER>,1619495,111
لاووازیه نام هوای حیاتی را در ۱۷۷۷ به چه نامی تغییر داد؟,اکسیژن,اکسیژن</ANSWER>,1624515,114
سالن ورودی گوگل پلکس مزین به چه چیزهایی است؟,یک پیانو، تعدادی سرور قدیمی، و جستارهای تحقیقاتی یک پروژه بر روی دیوار,<ANSWER>پیانو و خودرویی با اندازه واقعی</ANSWER>,1612166,107
مراسم افتتاحیه بازی‌های آسیایی ۲۰۱۰ در چه تاریخی برگزار شد؟,۱۲ نوامبر,<ANSWER>۱۲ نوامبر ۲۰۱۰</ANSWER>,1648586,130
بخش موازی در استان گیلان از ادغام چند بخش تشکیل شده بود؟,چهار بخش,<ANSWER>دو</ANSWER>,1610311,106
زبان رایج ساسانیان چه بود؟,,<ANSWER>فارسی میانه</ANSWER>,1642914,126
اینترنت امکان دسترسی به رایانه‌های دیگر و انباره‌های اطلاعات را چگونه به کاربران رایانه می‌دهد؟,از راه دور,<ANSWER>با اتصال آن‌ها به یکدیگر</ANSWER>,1619441,111
شهرهای تورنتو و اتاوا در کدام استان قرار دارند؟,استان انتاریو,<ANSWER>استان انتاریو</ANSWER>,1639126,124
میزان مهاجرت مردم خوزستان به شهرهای شمالی در سال 1399 چقدر بوده است؟,,اطلاعاتی در این زمینه در دسترس نیست.,1614579,108
رابرت تیلور متولد چه سالی بود؟,,<ANSWER>سال ۱۹۱۱</ANSWER>,1619055,111
هنگامی که علی بن موسی الرضا به ولایت عهدی رسید، بر خلاف سنت عباسیان چه رنگی را به عنوان رنگ خود برگزید؟,رنگ سبز,<ANSWER>رنگ سبز</ANSWER>,1607977,105
دریای تتیس، اقیانوس آرام را به کدام اقیانوس متصل می‌کرد؟,اطلس,<ANSWER>اقیانوس هند</ANSWER>,1628826,117
آلبوم شاهکار بینش‌پژوه دارای چه سبکی است؟,سبک رپ طنز,<ANSWER>موسیقی پاپ</ANSWER>,1617595,110
علت وجود برخی واژگان فرانسوی در زبان هلندی چیست؟,دوره‌های تسلط فرانسویان بر این منطقه,<ANSWER>نفوذ فرهنگی و تاریخی فرانسه</ANSWER>,1631627,119
خانواده نوش‌آفرین آیرملو بعد از کدام جنگ در تهران ساکن شده بودند؟,اصالتی گرجی یا ایروانی,<ANSWER>جنگ جهانی اول</ANSWER>,1637298,123
یکی از محبوب ترین گروه‌ها در رومانی را نام ببرید؟,گروه پارازیتی,<ANSWER>ا. اس. آی. ای</ANSWER>,1617707,110
با توجه به کتاب «کُرّاسهٔ اَلمَعی» پرچم «بیرق قاپوق» در کجا در اهتزاز بوده‌است؟,محل اعدام مجرمان,<ANSWER>در قاپوق</ANSWER>,1608255,105
شاپور چگونه کشته شد؟,بر اثر فروپاشی سقف بر سرش,<ANSWER>شاپور دوم توسط یک سرپرست عرب کشته شد</ANSWER>,1641846,126
رضاشاه در کدام روستا متولد شد؟,آلاشت,<ANSWER>آلاشت</ANSWER>,1637285,123
عملیات بمباران اتمی هیروشیما و ناگازاکی به فاصله چند روز انجام شد؟,به فاصله ۳ روز,<ANSWER>۳ روز</ANSWER>,1622896,113
چه کسی تحت تأثیر میرزا فتحعلی آخوند زاده پنج نمایشنامه نوشت؟,میرزا آقا تبریزی,<ANSWER>عبدالرحیم طالبوف تبریزی</ANSWER>,1647306,129
در ژانویه ۲۰۱۱ گوگل اعلام کرد که دسترسی کاربران ایرانی به چه نرم‌افزارهایی آزاد است؟,گوگل ارث، پیکاسا و مرورگر کروم,<ANSWER>نرم‌افزارهای گوگل ارت و پیکاسا</ANSWER>,1612675,107
ون گوگ در چه سالی به قتل رسید؟,۲۰۰۴,<ANSWER>۱۸۹۰</ANSWER>,1631570,119
لطفعلی خان آخرین فرمانروای زند در چه سالی به دست آغا محمدخان قاجار کشته شد؟,سال ۱۲۰۹ هجری قمری,<ANSWER>۱۷۹۴</ANSWER>,1602675,101
کدام جزء از جمهوری‌خواهان معتقد هستند که ایالات متّحده باید در عرصه‌ی خارجی سیاست‌هایی تهاجمی را دنبال کند و با کشورهایی که مزاحم منافع این کشورند، به شدّت برخورد کند؟,نومحافظه‌کاران,نومحافظه‌کاران جدید,1636050,122
کدام کشور توانست موفق به کسب رتبهٔ نخست در جدول مدال‌ها در بازی‌های آسیایی ۲۰۱۰ شود؟,چین,<ANSWER>چین</ANSWER>,1648755,130
صنایع دستی استان خوزستان را نام ببرید؟,,<ANSWER>عبابافی، بوریا بافی و کپو بافی</ANSWER>,1613788,108
مرکز کالیفرنیا کدام شهر است؟,,<ANSWER>ساکرامنتو</ANSWER>,1611775,107
اصلی‌ترین عامل پیشرفت آئین بودائی در ژاپن چه بود؟,تبلیغات غیر آزارنده و مسالمت‌آمیز، پرهیزکاری و اطاعت و انقیاد نسبت به حکومت بود.,<ANSWER>حمایت دولت</ANSWER>,1622674,113
 استراحت، رفع فشار و معالجه اضطراری برای غواصان و خدمه زیردریایی‌ها در چه عمق و فشاری است؟,عمق نسبتاً کم (عمق ۶ متر یا کمتر) در فشارهای حداکثر ۲٫۸ بار,<ANSWER>در عمق و فشار ۱ اتمسفر</ANSWER>,1625263,114
چه کسی کادوسیان را مجبور کرد که با مادها بجنگند؟,یک پارسی به نام پارسد,<ANSWER>مادها</ANSWER>,1609852,106
