question,answer,model_answer,clean_model_answer,is_correct
شالبافی در کجا و توسط چه کسانی دراستان گیلان رایج است؟,شالبافی در تالش و توسط گالش‌ها,شالبافی در استان گیلان توسط زنان روستایی رایج است.,شالبافی در استان گیلان توسط زنان روستایی رایج است.,False
پس از چه رویدادی فعالیت‌های سازمان دارِ تئاتر در اروپای غربی متوقف شد؟,پس از سقوط امپراتوری روم,جنگ جهانی اول,جنگ جهانی اول,False
نام فرد ایرانی که پست‌هایی همچون مشاور ارشد مدیر عامل گوگل و نایب‌رئیس ارشد بخش فروش را در این شرکت داشت چه بود؟,امید کردستانی,امید کردستانی,امید کردستانی,True
دوره‌ی مداری چیست؟,,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
بزرگترین مشکل استان خوزستان در حال حاضر چیست؟,,عدم ذکر مشکل خاصی در متن,عدم ذکر مشکل خاصی در متن,False
کریم‌خان زند خود را چه نامید؟,او خود راوکیل الرعایا نامید,سردار سپاه,سردار سپاه,False
چه چیزی در استان خوزستان قابلیت بالقوهٔ کشاورزی فراوانی ایجاد کرده‌است؟,ساختار جلگه‌ای استان خوزستان,منابع نفت و گاز,منابع نفت و گاز,False
بعد از لیندون بنیز جانسون چه کسی رئیس جمهور شد؟,ریچارد نیکسون,ریچارد نیکسون,ریچارد نیکسون,True
مدار ژئوسنکرون زمین در چه فاصله‌ای از سطح زمین است؟,۳۶۰۰۰ کیلومتری,۳۵٬۷۸۶ کیلومتر,۳۵٬۷۸۶ کیلومتر,False
علی بن موسی الرضا چگونه به شهادت رسید؟ ,,در متن موجود اطلاعاتی دربارهٔ چگونگی شهادت علی بن موسی الرضا ذکر نشده است.,در متن موجود اطلاعاتی دربارهٔ چگونگی شهادت علی بن موسی الرضا ذکر نشده است.,True
در قرن ۴ام اسلامی برای جمع‌آوری قرائت‌های مختلف قرآنی برای هر قاری چند راوی قرار دادند؟,دو,چهار راوی,چهار راوی,False
کادوسیان بنابر استرابو در کجا می‌زیستند؟,در کرانه جنوب غرب دریای خزر و جنوب ارس بین آلبانی در شمال و ماردی در شرق یعنی در بخش کوهستانی مادیه پیرامون پاراچوآتراس,در قفقاز,در قفقاز,False
ماهواره‌های مدارات قطبی جهت چه کاری مورد استفاده قرار می‌گیرند؟,مشاهدۀ سطح زمین,ماهواره‌های مدارات قطبی برای ارتباطات و عملکرد دقیق در کشوری متمدن و پیشرفته مورد استفاده قرار می‌گیرند.,ماهواره‌های مدارات قطبی برای ارتباطات و عملکرد دقیق در کشوری متمدن و پیشرفته مورد استفاده قرار می‌گیرند.,False
در سال 1963، کدام شهرستان کوچک در شمال به گیلان ملحق شد؟,آستارا,آستارا,آستارا,True
نسخه‌های تست بتا به وسیله ی چه گروهی اجرا شد؟,به وسیلهٔ گروهی غیر از تولیدکنندگان,گروه تولیدکننده,گروه تولیدکننده,False
در چه سالی دوپلر مقاله ای راجع به اثر دوپلر بر روی همه ی امواج نوشت؟,۱۸۴۲,1842,1842,True
آزمایش های سندی‌ووجیس در چه کتابی منتشر شده؟,در مورد احتراق,"در کتاب ""آزمایش های سندی‌ووجیس"" منتشر شده است.","در کتاب ""آزمایش های سندی‌ووجیس"" منتشر شده است.",False
تعدادی از موضوعات نقاشی انسان های گذشته را نام ببرید.,تصاویری همچون اهلی کردن حیوانات، کشت گندم، اختراع سفالگری و ترک زندگی کوچنشینی یعنی هنگامی که شکارچیان و تهیه‌کنندگان غذا در مکانی مستقر می‌شوند و به کشاورزی و دامداری رو می‌آورند,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
سنگ نوشته ای که در نزدیکی تخت جمشید است به چه زبانی است؟,فارسی و یونانی,فارسی و یونانی,فارسی و یونانی,True
کلیسای کاتولیک اهداف خود را بر چه چیزی تعریف می‌کند؟,گسترش انجیل عیسی مسیح، مدیریت کلیسا از طریق حاکمیت دینی و اعمال خیریه تاسیس بیمارستان، یتیم خانه و مدرسه,گسترش انجیل عیسی مسیح، مدیریت کلیسا از طریق حاکمیت دینی و اعمال خیریه,گسترش انجیل عیسی مسیح، مدیریت کلیسا از طریق حاکمیت دینی و اعمال خیریه,False
طبق نظر غالب محققان الگوی تکاملی تئاتر در جوامع مختلف به چه صورت می باشد؟,غالب محققان این نظر را که تئاتر در همهٔ جوامع از الگوی تکاملی واحدی پیروی کرده‌است و رد می‌کنند,سرچشمه تئاتر داستانسرایی است و از افسانه سرایی نشأت می‌گیرد.,سرچشمه تئاتر داستانسرایی است و از افسانه سرایی نشأت می‌گیرد.,False
امپراتوری ایران با کدام منطقه در صلح وآرامش بود؟,دشمنان شرقی,ارمنستان,ارمنستان,False
باشگاه شنای متروپولیتین لندن بعدها به چه چیزی تغییر نام پیدا کرد؟,انجمن شنای غیر حرفه‌ای,"باشگاه شنای متروپولیتین لندن به ""باشگاه شنای متروپولیتین"" تغییر نام پیدا کرد.","باشگاه شنای متروپولیتین لندن به ""باشگاه شنای متروپولیتین"" تغییر نام پیدا کرد.",False
چه چیزی به آهنگسازان هیپ هاپ اجازه داد تا حدودی پارتیتورهای اولیه را به دست آورند؟,ظهور طبل برقی,افزایش محبوبیت هیپ هاپ و صحبت کردن نوازندگان در حین نواخته شدن موسیقی,افزایش محبوبیت هیپ هاپ و صحبت کردن نوازندگان در حین نواخته شدن موسیقی,False
فرهنگ میان‌رودان چگونه بوده است؟,,متن ارائه شده اطلاعاتی درباره فرهنگ میان‌رودان ندارد.,متن ارائه شده اطلاعاتی درباره فرهنگ میان‌رودان ندارد.,True
مدار ژیودزیکی چیست؟,,متن ارائه شده اطلاعاتی درباره مدار ژیودزیکی ندارد.,متن ارائه شده اطلاعاتی درباره مدار ژیودزیکی ندارد.,True
توپولوژی چیست؟,,متن ارائه شده اطلاعاتی درباره توپولوژی ندارد.,متن ارائه شده اطلاعاتی درباره توپولوژی ندارد.,True
در کدام دهه در هرسال اینترنت رشدی صد درصدی نسبت به سال قبل خود داشته‌است؟,در دهه ۹۰,دهه ۹۰,دهه ۹۰,True
کاسپین صفت وصفی یا نسبی در زبان‌های انگلیسی و فرانسوی برای کدام واژه است؟,کاسپی,کاسپی,کاسپی,True
اکسیژن چگونه اجازه می‌دهد تا احتراق به سرعت و پرانرژی انجام شود؟,با غلظت و تراکم بالا,اکسیژن با غلظت و تراکم بالا اجازه می‌دهد تا احتراق به سرعت و پرانرژی انجام شود.,اکسیژن با غلظت و تراکم بالا اجازه می‌دهد تا احتراق به سرعت و پرانرژی انجام شود.,True
ابن فقیه همدانی در کتاب «اخبار البلدان» آورده‌است که آتش آذرگشنسب تا چه سالی روشن بوده‌است؟,سال ۲۷۴ خورشیدی,تا سال ۳۲ هجری,تا سال ۳۲ هجری,False
تاریخ ژاپن از کجا آغاز می‌گردد؟,آغاز تاریخ ژاپن، با مردمانی از نژاد آینو و مغول به سده‌های پیش از میلاد مسیح بازمی‌گردد,دوره جومون,دوره جومون,False
اروگوئه‌ای‌ها به چه علت مسابقات جام جهانی ایتالیا را تحریم کردند؟,از گسترش فاشیسم در ایتالیا ناراضی بودند,به دلیل گسترش فاشیسم در ایتالیا,به دلیل گسترش فاشیسم در ایتالیا,True
مسابقات جام جهانی سال ۱۹۳۸ با حضور چند تیم برگزار شد؟,۱۵ تیم,۱۵ تیم,۱۵ تیم,True
نظام آموزشی کانادا را شرح دهید.,,متن ارائه شده شامل اطلاعاتی درباره نظام آموزشی کانادا نیست.,متن ارائه شده شامل اطلاعاتی درباره نظام آموزشی کانادا نیست.,True
یکی از سرویس‌های ارتباطی مهم در دسترس بر روی اینترنت را نام ببرید؟,پست الکترونیک,تلفن اینترنتی (VoIP),تلفن اینترنتی (VoIP),False
مشهورترین خوراکی استان گیلان از نظرجهانگردان چیست؟,,کته,کته,False
در سال 652 هجری در گیلان شهر چگونه شکل می‌گرفت؟,با جمع شدن مردم به‌طور موقت در یک روز و تشکیل بازار یا «گوراب» که از همان انبوهه و گروه گرفته شده بود شکل می‌گرفت,متن موجود اطلاعاتی دربارهٔ شکل‌گیری شهرها در سال 652 هجری قمری در گیلان ارائه نمی‌دهد.,متن موجود اطلاعاتی دربارهٔ شکل‌گیری شهرها در سال 652 هجری قمری در گیلان ارائه نمی‌دهد.,False
دلیل تأثیر منفی ارتفاع زیاد چیست؟,رقیق شدن سریع اکسیژن روی انسان,متن ارائه شده هیچ اشاره‌ای به دلیل تأثیر منفی ارتفاع زیاد ندارد.,متن ارائه شده هیچ اشاره‌ای به دلیل تأثیر منفی ارتفاع زیاد ندارد.,False
چه کسانی مدت‌ها منبع محبوبی برای بریک بودند؟,جیمز براون، باب جیمز، و پارلیامنت,برتراند راسل و کارل سیگن,برتراند راسل و کارل سیگن,False
رضاشاه در جوانی به نام ناحیه‌ای که از آن برخاسته بود نامیده می‌شد، آن نام چیست؟,رضا سوادکوهی,مازندران,مازندران,False
دونالد ترامپ چندمین رئیس جمهور آمریکا بود؟,,۴۵,۴۵,True
شهر رم در کدام کشور است؟,ایتالیا,ایتالیا,ایتالیا,True
کدام مورخان نگاه سنتی در برابر روش گردآوری قرآن را رد کرده‌اند؟,مایکل کووک و پاتریکا کرون,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
نقاشی‌ بازدید ناصرالدین شاه از کشور روسیه در سال ۱۸۷۳ م (۱۲۹۰ ه‍.ق)  که شاه را سوار بر اسب در کنار الکساندر دوم امپراتور وقت روسیه می‌نمایاند در کدام موزه نگهداری می‌شود؟,موزهٔ ارمیتاژ روسیه,موزهٔ ارمیتاژ روسیه,موزهٔ ارمیتاژ روسیه,True
کدام‌یک از پادشاهان به آئین بودا معتقد بودند؟,,امپراتریس سویکو و امیر شوتوکو تیشی,امپراتریس سویکو و امیر شوتوکو تیشی,False
شنا کردن را تعریف کنید.,شناکردن عبارت است از حرکات منظم دست‌ها و پاها و به‌طور کلی بدن که امکان پیشروی موجودات زنده در آب را ممکن می‌سازد.,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
چه کسی اولین تئاتر زنان ایرانی را راه اندازی کرد؟,امیر سعادت,متن موجود اطلاعاتی دربارهٔ اولین تئاتر زنان ایرانی ارائه نمی‌دهد.,متن موجود اطلاعاتی دربارهٔ اولین تئاتر زنان ایرانی ارائه نمی‌دهد.,False
مایکل سندی‌ووجیس در سال ۱۶۰۴ چه ماده ای را شرح داد؟,ماده موجود در هوا,ماده ای در سال ۱۶۰۴ شرح داده نشده است.,ماده ای در سال ۱۶۰۴ شرح داده نشده است.,False
مهم‌ترین استان کانادا از لحاظ اقتصادی و سیاسی را نام ببرید.,انتاریو,انتاریو,انتاریو,True
نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» چه کسی است؟,,جاسم حسین,جاسم حسین,False
چند اماکن عمومی که می‌توان در آن‌ها از اینترنت استفاده نمود نام ببرید؟,کتابخانه‌ها و کافی‌نتها,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
ارشد‌الدوله که بود؟,,در متن موجود اطلاعاتی درباره ارشدالدوله وجود ندارد.,در متن موجود اطلاعاتی درباره ارشدالدوله وجود ندارد.,True
وظیفه پی بندی و استانداردسازی پروتکل‌های هسته‌ای اینترنت، پروتکل اینترنت نسخه ۴ و پروتکل اینترنت نسخه ۶ بر عهده چه گروهی است؟,گروه ویژه مهندسی اینترنت,IETF,IETF,True
در کدام سواحل و در چه تاریخی از شنا در آب به عنوان وسیله‌ای برای درمان استفاده می‌شد؟,سواحل بریتانیای کبیر در اواخر قرن ۱۷ میلادی,متن ارائه شده اطلاعاتی در مورد استفاده از شنا به عنوان وسیله‌ای برای درمان ارائه نمی‌دهد.,متن ارائه شده اطلاعاتی در مورد استفاده از شنا به عنوان وسیله‌ای برای درمان ارائه نمی‌دهد.,False
کدام حزب ایالات متحده آمریکا با نام جی‌او‌پی یا حزب بزرگ قدیمی نیز شناخته می‌شود؟,حزب جمهوری‌خواه,حزب جمهوری‌خواه ایالات متحده آمریکا,حزب جمهوری‌خواه ایالات متحده آمریکا,True
اشتراک نظر لوی استروس با مکتب کارکرد گرایی چیست؟,لِوی استروس همچون پیروان مکتب کارکرد گرایی، داروینیسم فرهنگی را رد می‌کند و معتقد است که هر جامعه‌ای خط فرهنگی خاصهٔ خود را به وجود می‌آورد,هر جامعه‌ای خط فرهنگی خاصهٔ خود را به وجود می‌آورد.,هر جامعه‌ای خط فرهنگی خاصهٔ خود را به وجود می‌آورد.,False
در ابتدای تأسیس گوگل در سال ۱۹۹۸ تا اوت ۲۰۰۱، چه کسی مدیر ارشد اجرایی گوگل بود؟,لری پیج,اریک اشمیت,اریک اشمیت,False
شبکه استانی صدای مرکز گیلان دارای چند بخش است؟,دو بخش برون مرزی رادیو گرجی و رادیو تالشی,دو بخش برون مرزی رادیو گرجی و رادیو تالشی,دو بخش برون مرزی رادیو گرجی و رادیو تالشی,True
چرا پادشاهان در قرن هشتم دست از زندگی مجلل و اشرافی خود برداشتند؟,برخی از پادشاهان این دوره بعلت گرایش به آئین بودا و تعصب در این دین دست از زندگی مجلل و اشرافی خود برداشتند.,متن ارائه شده به این سوال پاسخ نمی‌دهد.,متن ارائه شده به این سوال پاسخ نمی‌دهد.,False
در سال 1909، چه کسی جام توماس لیپتون را در شهر تورین برگزار کرد؟,سر توماس لیپتون,جام توماس لیپتون در سال 1909 در شهر تورین برگزار شد.,جام توماس لیپتون در سال 1909 در شهر تورین برگزار شد.,False
پنتاگون کجاست؟,مقر و فرماندهی وزارت دفاع ایالات متحدهٔ آمریکا,ایالات متحدهٔ آمریکا,ایالات متحدهٔ آمریکا,False
کمدی تا چه سالی به دیونوسیای شهر راه نیافت؟,تا سال‌های ۴۸۷–۴۸۶,سال ۵۳۴ قبل از میلاد,سال ۵۳۴ قبل از میلاد,False
بزرگترین و مهم‌ترین زن نمایشگر و خدای‌نامه‌خوان پس از اسلام کیست؟,همسر فردوسی,عبدالکریم حائری یزدی,عبدالکریم حائری یزدی,False
چه سرویسی با پیدایش اینترنت امکان‌پذیر شد؟,تلفن اینترنتی,تلفن اینترنتی (VoIP),تلفن اینترنتی (VoIP),True
یکی از نکات مورد اختلاف بین ساسانی‌ها و رومی‌ها چه بوده‌است؟,ارمنستان,سیاست سختگیرانه امپراتوری روم نسبت به ارمنستان,سیاست سختگیرانه امپراتوری روم نسبت به ارمنستان,True
در بمباران اتمی هیروشیما و ناکازاکی، در ژاپن چند نفر جان خود را از دست دادند؟,,حدود ۲۰۰٬۰۰۰ نفر,حدود ۲۰۰٬۰۰۰ نفر,False
عمره ترین شرکای تجاری ژاپن کدام کشور‌ها هستند؟,آمریکا با ۲۲٫۷٪، چین با ۱۳٫۱٪ و کره جنوبی با ۷٫۸٪ عمده‌ترین شرکای تجاری این کشور هستند.,روسیه، چین، شبه جزیره کره,روسیه، چین، شبه جزیره کره,False
وب توسط چه کسی اختراع شد؟,دانشمندی انگلیسی به نام تیم برنرز لی,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
نام جمهوری‌خواه از چه چیزی اقتباس گردید؟,از نام حزب جمهوری‌خواهان دموکراتیک که در ابتدای قرن نوزدهم توسط توماس جفرسون بنیان گذاشته شد,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
ساختمان دارالفنون در کدام قسمت تهران قرار گرفته‌است؟,مرکز شهر تهران,خیابان ناصرخسرو در مرکز شهر تهران,خیابان ناصرخسرو در مرکز شهر تهران,True
تاریخ بلعمی پرچم امویان را به چه رنگی توصیف کرده‌است؟,سبز,رنگی ذکر نشده است.,رنگی ذکر نشده است.,False
به منظور تمرکززدایی بسیاری از وزارتخانه‌ها و سفارتخانه‌ها هلند در کدام شهر مستقر شده‌اند؟,لاهه,لاهه,لاهه,True
قران توسط زید بن ثابت طی چه مدتی جمع آوری شد؟,۱۴ ماه و تا زمان فوت ابوبکر در سال ۱۳ هجری,در مدت ۱۷ سال,در مدت ۱۷ سال,False
در شنای پروانه، پاها حدود چند سانتی‌متر در زیر آب است؟,۳۰ سانتی‌متر,۳۰ سانتی‌متر,۳۰ سانتی‌متر,True
تعداد دانلود اَپ استور در ۶ مارس ۲۰۱۲ چقدر بود؟,بیش از ۲۵ بیلیون بار,نمی‌توان اطلاعاتی در مورد تعداد دانلود اَپ استور در ۶ مارس ۲۰۱۲ ارائه داد.,نمی‌توان اطلاعاتی در مورد تعداد دانلود اَپ استور در ۶ مارس ۲۰۱۲ ارائه داد.,False
روستای آلاشت از توابع کجاست؟,سوادکوه,مازندران,مازندران,False
چگونه هلند با بریتانیا هم‌جوار است؟,دریا,هلند با بریتانیا هم‌جوار نیست.,هلند با بریتانیا هم‌جوار نیست.,False
«آئین‌نامه نظامی قواعد مشق و حرکات پیاده‌نظام دولت علیّه ایران» در چه زمانی به چاپ رسید؟,رمضان ۱۲۶۸ ه‍.ق (اوایل صدارت میرزا آقا خان نوری),سال ۱۳۱۱,سال ۱۳۱۱,False
فروش ۱٫۶۷ میلیارد دلاری سهام گوگل، سرمایه این شرکت را به چه قیمتی رساند؟,بیش از ۲۳ میلیارد دلار,نمی‌توان از متن اطلاعاتی در مورد قیمت سرمایه شرکت گوگل پس از فروش ۱٫۶۷ میلیارد دلاری سهام آن استخراج کرد.,نمی‌توان از متن اطلاعاتی در مورد قیمت سرمایه شرکت گوگل پس از فروش ۱٫۶۷ میلیارد دلاری سهام آن استخراج کرد.,False
اولین مردی که شنای 100متر کرال سینه را زیر یک دقیقه شنا کرد کیست؟,,ریچارد کاویل,ریچارد کاویل,False
پایه اسیدها را چه چیزی تشکیل می‌دهد؟,هیدروژن,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
در سال 2006 تعداد روستاهای مسکون گیلان به چقدر کاهش یافت؟,۲۶۸۶,اطلاعاتی در مورد کاهش تعداد روستاهای مسکون گیلان در سال 2006 در متن موجود نیست.,اطلاعاتی در مورد کاهش تعداد روستاهای مسکون گیلان در سال 2006 در متن موجود نیست.,False
دو فضای نام اصلی اینترنت، نشانی پروتکل اینترنت و سامانه نام دامنه توسط چه سازمانی راهبری می‌شوند؟,آیکان,ICANN,ICANN,True
پاپک درچه تاریخی موفق به سرنگون کردن گوچهر از خاندان بازرنگیان شد؟,در سال ۲۰۰,سال ۲۰۰,سال ۲۰۰,True
خاندان هوجو به کدام خاندان حکومت را واگذار کرد؟,خاندان هوجو در جدال بر سر قدرت، حاکمیت را به خاندان آشیکاگا واگذار کرد.,خاندان موری,خاندان موری,False
نام کامل ون گوگ چیست؟,تئو فان خُخ,وینسنت ویلم ون گوگ,وینسنت ویلم ون گوگ,False
واژهٔ گوگول بعد از اختراع شدن توسط میلتون سیروتا در چه کتابی نوشته شد؟,ریاضیات و تخیل,"کتاب ""گودال و پری""","کتاب ""گودال و پری""",False
در بازی‌های آسیایی ۱۹۹۰ پکن چند ورزش المپیکی و چند ورزش غیر المپیکی باهم به رقابت پرداختند؟,۲۸ ورزش المپیکی و ۱۴ ورزش غیر المپیکی,آسیایی ۱۹۹۰ پکن: ۲۵ ورزش المپیکی و ۷ ورزش غیر المپیکی,آسیایی ۱۹۹۰ پکن: ۲۵ ورزش المپیکی و ۷ ورزش غیر المپیکی,False
فتح هویزه در چه سالی اتفاق افتاد؟,,1979,1979,False
رضاخان به نصیحت چه کسانی مبنی بر ادامهٔ نظام پادشاهی و عدم تأسیس جمهوری گوش کرد؟,روحانیون بلند مرتبهٔ شیعه,سیاست‌مداران ایران و هیئت نمایندگی بریتانیا,سیاست‌مداران ایران و هیئت نمایندگی بریتانیا,False
چند نفر در سراسر دنیا بازی فینال جام جهانی سال ۲۰۰۶ را بصورت زنده مشاهده کردند؟,۷۱۵٫۱ میلیون نفر,نزدیک به ۱٫۰ میلیارد نفر,نزدیک به ۱٫۰ میلیارد نفر,False
در سال 1378، چند درصد کل جمعیت روستایی استان خوزستان را عرب‌ها در برمی‌گرفتند؟,۳۸ درصد,حدود 70 درصد,حدود 70 درصد,False
در راس کلیسای کاتولیک چه کسی قرار دارد؟,اسقف اعظم رم,پاپ,پاپ,True
تلاش های ایبریایی ها باعث چه چیزی شد؟,درگرفتن جنگی بین ایران و روم شد,تلاش های ایبریایی ها باعث ورود اندیشه های جدید به خرد جمعی مردم امپراتوری عثمانی و تمدن های بومی قاره امریکا نشد.,تلاش های ایبریایی ها باعث ورود اندیشه های جدید به خرد جمعی مردم امپراتوری عثمانی و تمدن های بومی قاره امریکا نشد.,False
در سال 1950، گیلان به چه شهرستان‌هایی تقسیم شده بود؟,طوالش، فومن، بندر پهلوی (انزلی)، رشت و لاهیجان,طوالش، فومن، بندر پهلوی (انزلی)، رشت، لاهیجان,طوالش، فومن، بندر پهلوی (انزلی)، رشت، لاهیجان,True
نور مرئی چیست؟,,نور مرئی قسمتی از طیف الکترومغناطیسی است که قابل دیدن توسط چشم انسان است.,نور مرئی قسمتی از طیف الکترومغناطیسی است که قابل دیدن توسط چشم انسان است.,False
یزگرد دوم به کجا لشکر کشید؟,غرب,شیراز,شیراز,False
فرح کریمی به نمایندگی از کدام حزب در مجلس هلند حضور داشته‌است؟,سبزها,حزب سبزها,حزب سبزها,True
دانشگاه جندی شاپور را چه کسانی بنیان‌گذاردند؟,ساسانیان,ساسانیان,ساسانیان,True
اولین رهبر مسیحیان کاتولیک جهان چه کسی بود؟,,پطرس,پطرس,False
در ژاپن چند گونه گیاهی وجود دارد؟,بین ۴۰۰۰ تا ۶۰۰۰ گونه گیاهی,اطلاعاتی در مورد تعداد گونه‌های گیاهی در ژاپن در متن موجود نیست.,اطلاعاتی در مورد تعداد گونه‌های گیاهی در ژاپن در متن موجود نیست.,False
اندکی بعد از کودتا اسفند 1299 بیانیه‌های تند و تیزی، یکی از سوی سید ضیاء و دیگری از سوی رضاخان، صادر شد که دربارهٔ چه بود؟,نجات کشور و سلطنت از دست خائنان و نالایقان و بازسازی آن,کودتا و بیانیه‌های تند و تیز سید ضیاء و رضاخان دربارهٔ برکناری دولت و تغییرات سیاسی بود.,کودتا و بیانیه‌های تند و تیز سید ضیاء و رضاخان دربارهٔ برکناری دولت و تغییرات سیاسی بود.,False
چند تیم در مسابقات جام جهانی سال 1934 در ایتالیا حضور داشتند؟,۱۶ تیم,16 تیم,16 تیم,True
چند درصد از مردم گیلان گویش خاوری دارند؟,,حدود ۳۷٫۷ درصد,حدود ۳۷٫۷ درصد,False
به کسی که نرم‌افزار رایانه می‌نویسد چه چیزهایی می‌گویند؟,برنامه‌نویس، برنامه‌نویس رایانه، توسعه‌دهنده، کدنویس، یا مهندس نرم‌افزار,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
اگر جسمی به سمت زمین در حرکت باشد، از نظر چشم غیرمترقبه در نور مرئی چه میزان متفاوت است؟,تفاوت محسوسی وجود نخواهد داشت,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
علت نام گذاری شنای تروجن چیست؟,نام نخستین نمایش دهنده آن (جیمز تروج) بر روی آن نهاده شده‌است,متن ارائه شده هیچ اطلاعاتی درباره علت نام گذاری شنای تروجن ندارد.,متن ارائه شده هیچ اطلاعاتی درباره علت نام گذاری شنای تروجن ندارد.,False
چه کسی هفت هفته متوالی جایزه فری استایل فرایدی را در بت ۱۰۶ و پارک که برنامه‌ای مختص هیپ هاپ بود، را از آن خود کرد؟,یک هنرمند رپ چینی- آمریکایی به نام جین آئو- یونگ,امیر قلعه نویی,امیر قلعه نویی,False
به چه دلیل گیلان در سال 1395، استان بدون بار امنیتی عنوان شد؟,دغدغه ای از لحاظ امنیت در سطح کلان در گیلان نداشته‌اند و براساس ارزیابی‌های وزارت کشور ایران، دغدغه ای از لحاظ امنیت در سطح کلان در این استان نبوده‌است,متن موجود در زمینه گیلان و دلایل امنیتی آن در سال 1395 اطلاعاتی ارائه نمی‌دهد.,متن موجود در زمینه گیلان و دلایل امنیتی آن در سال 1395 اطلاعاتی ارائه نمی‌دهد.,False
شاپور دوم چه سیاستی را درپی گرفت؟,سیاست دینی بی‌رحمانه,مرمت و بازسازی دانشگاه جندی شاپور,مرمت و بازسازی دانشگاه جندی شاپور,False
چگونه از پزشکی پرفشار برای بهبودی بیمار استفاده می‌شود؟,استفاده از اکسیژن در فشار بالاتر از فشار اتمسفر، و تسریع درمانی برای بیماری کاهش فشار با هدف کاهش اثرات مضر حباب‌های گاز با کاهش اندازه آن‌ها و فراهم کردن شرایط بهبودی بیمار,با افزایش فشار نسبی اکسیژن در اطراف بیمار و تسریع درمانی برای بیماری کاهش فشار.,با افزایش فشار نسبی اکسیژن در اطراف بیمار و تسریع درمانی برای بیماری کاهش فشار.,False
چند پروتکل که روی وب استفاده می‌شود را نام ببرید؟,,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False
اروپا چندمین قاره جهان از نظر تراکم جمعیت است؟,دومین,دومین قاره,دومین قاره,True
فیس‌بوک در چه سالی در دسترس عموم قرار گرفت؟,,2004,2004,False
علت مرگ هاردینگ چه بود؟,,متن موجود اطلاعاتی درباره علت مرگ هاردینگ ارائه نمی‌دهد.,متن موجود اطلاعاتی درباره علت مرگ هاردینگ ارائه نمی‌دهد.,True
منظور از شیطان سرخ چیست؟,اتحاد شوروی,اتحاد شوروی,اتحاد شوروی,True
چند روز بعد از به تصویب رسیدن سیزدهمین اصلاحیه قانون اساسی ایالات متحده آمریکا آبراهام لینکلن به قتل رسید؟,۵,5 روز,5 روز,True
در رومانی، بی. یو. جی. مافیا از کجا ظهور کرد؟,پنتلیمون بخارست,پنتلیمون بخارست,پنتلیمون بخارست,True
غواصان و خدمه زیردریایی‌ها از چه چیزی استفاده می‌کنند؟,از اکسیژن مصنوعی متناسب با فشار,اکسیژن مصنوعی متناسب با فشار,اکسیژن مصنوعی متناسب با فشار,True
قطعه‌سازی که اغلب از آن تحت عنوان «بیت» یاد می‌شود توسط چه کسی نواخته می‌شود؟,یک دی جی,دی جی,دی جی,True
در چه سالی کمپانی گوگل اعلام کرد که قصد دارد صدها باتری خورشیدی نصب کرده و تا ۱٫۶ مگاوات نیروی برق تولید کند؟,سال ۲۰۰۶,۲۰۱۱,۲۰۱۱,False
پل باران در مطالعه جامع خود که برای نیروی هوایی ایالات متحده آمریکا منتشر کرده بود چه پیشنهادی داده بود؟,که برای دستیابی به استحکام و مقاومت در برابر حوادث از راه‌گزینی بسته کوچک استفاده شود,پیشنهاد خاصی در متن ارائه نشده است.,پیشنهاد خاصی در متن ارائه نشده است.,False
دلیل اصلی خارج شدن ۳ تن از فرزندان حسین‌علی میرزا فرمانفرما از ایران به بریتانیا چه بود؟,,عدم امنیت و شرایط سیاسی,عدم امنیت و شرایط سیاسی,False
در کدام کشور میزبان جام جهانی، قبل ازآغاز مسابقات، زلزله ویرانگر و ۹٫۵ ریشتری شیلی رخ داد؟,شیلی,شیلی,شیلی,True
سلطان تنجی در دوران سلطنت خود چه‌کار هایی انجام داد؟,وی بر خلاف گذشته که امپراتور فقط ریاست قبایل را بر عهده داشت حکومت را مرکزیت قدرت کشور گردانید و این قدرت تمامیت‌خواهی را در سراسر امپراتوری برقرار کرد.,سلطان تنجی قدرت را مرکزیت بخشید، حکام ایالات را موظف به پرداخت خراج سالانه کرد و هم بستگی در سراسر کشور را ایجاد کرد.,سلطان تنجی قدرت را مرکزیت بخشید، حکام ایالات را موظف به پرداخت خراج سالانه کرد و هم بستگی در سراسر کشور را ایجاد کرد.,False
در چه تاریخی با دادخواستی که توسط دادگاه فدرال کالیفرنیا علیه گوگل تنظیم شد، گوگل را ملزم به پرداخت 5 میلیارد دلار کرد؟,ژوئن ۲۰۲۰,این اطلاعات در متن موجود نیست.,این اطلاعات در متن موجود نیست.,False
