question,answer,model_answer,clean_model_answer,is_correct,em_score,f1_score,precision_score,recall_score,parse_result
چه کسی به این نتیجه رسید که اجرای قرارداد ۱۹۱۹ امری غیرممکن است؟,آیرونساید,گرَنت مکرکن,گرَنت مکرکن,False,False,0.0,0.0,0.0,False
هاب را تعریف کنید؟,,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
الکسا چه چیز را بعنوان پربازدیدترین وبگاه اینترنت در فهرستش قرار داده‌است؟,اینترنت وبگاه گوگل در آمریکا,متن موجود به این سوال پاسخ نمی‌دهد.,متن موجود به این سوال پاسخ نمی‌دهد.,False,False,0.0,0.0,0.0,False
اولین گروه رپ که یک آلبوم هیپ هاپ رومانیایی عرضه کرد در آن به چه موضوعاتی پرداخت؟,«اجتماعی»,زندگی در بلوک‌های آپارتمانی رومانی دوران کمونیستی و پروژه‌های مسکن‌سازی در محله‌های آمریکایی,زندگی در بلوک‌های آپارتمانی رومانی دوران کمونیستی و پروژه‌های مسکن‌سازی در محله‌های آمریکایی,False,False,0.0,0.0,0.0,False
شرکت اَپل مجوز استفاده از آی‌اواس برای چه چیزی را نمی‌دهد؟,برای نصب بر روی سخت‌افزارهای شخص ثالث,نصب بر روی سخت‌افزارهای شخص ثالث,نصب بر روی سخت‌افزارهای شخص ثالث,True,False,0.923076923076923,1.0,0.8571428571428571,False
طوایف عرب خوزستان همگی از چه دسته‌ ای بودند؟,دسته کوچ نشین، غیر ثابت و با اصل و نسب مشخص در شبه جزیره عربستان,عربها,عربها,False,False,0.0,0.0,0.0,False
چرا ارمنستان همیشه مهم بوده است؟,اهمیت استراتژیک و اقتصادی داشته و به عنوان سرزمین حایل بین ایران و روم بوده.,ارمنستان به دلیل موقعیت جغرافیایی استراتژیک و نقش آن به عنوان نقطه تلاقی دو امپراتوری بزرگ، یعنی ایران و روم، همیشه مهم بوده است.,ارمنستان به دلیل موقعیت جغرافیایی استراتژیک و نقش آن به عنوان نقطه تلاقی دو امپراتوری بزرگ، یعنی ایران و روم، همیشه مهم بوده است.,True,False,0.4102564102564102,0.3333333333333333,0.5333333333333333,False
شنا برای کودکان زیر سه سال به چه صورت می باشد؟,شنا برای کودکان زیر سه سال فقط به صورت به اصطلاح شنای سگی است,متن موجود در زمینه شنا برای کودکان زیر سه سال اطلاعاتی ارائه نمی‌دهد.,متن موجود در زمینه شنا برای کودکان زیر سه سال اطلاعاتی ارائه نمی‌دهد.,False,False,0.4444444444444445,0.46153846153846156,0.42857142857142855,False
استان ها مسئول اکثر چه برنامه هایی هستند؟,برنامه‌های اجتماعی,برنامه های صنعتی و کشاورزی,برنامه های صنعتی و کشاورزی,False,False,0.0,0.0,0.0,False
شگون ها تا چه سده‌ای بر ژاپن حکومت می‌کردند؟,تا نیمه اول سده نوزدهم حکومت مستبدانه خود را بر ژاپن ادامه دادند.,تا سده هفتم,تا سده هفتم,False,False,0.25,0.6666666666666666,0.15384615384615385,False
انواع طبل را نام ببرید؟,,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
آی‌اواس در ابتدا برای کدام دستگاه‌ها توسعه داده می‌شد؟,آیفون و آی‌پاد,آیفون و آی‌پاد تاچ,آیفون و آی‌پاد تاچ,True,False,0.28571428571428575,0.25,0.3333333333333333,False
به چه علت پیشینه‌ی تاریخی پاسارگاد در طول تاریخ ناشناخته مانده‌است؟,تغییرنام این شهر,متن ارائه شده هیچ اشاره‌ای به پاسارگاد و علت ناشناخته ماندن پیشینه‌ی تاریخی آن ندارد.,متن ارائه شده هیچ اشاره‌ای به پاسارگاد و علت ناشناخته ماندن پیشینه‌ی تاریخی آن ندارد.,False,False,0.0,0.0,0.0,False
ابن بلخی در بیان راه‌های بین شیراز و اصفهان چند راه اصلی نام می‌برد؟,سه راه اصلی,سه راه اصلی,سه راه اصلی,True,True,1.0,1.0,1.0,True
زبان‌های برنامه‌نویسی محبوبی که برای وب و نرم‌افزارهای کاربردی تجاری استفاده می‌شوند را نام ببرید؟,جاوا، سی شارپ، ویژوال بیسیک و پی‌اچ‌پی,,,False,False,0.0,0.0,0.0,False
در سال ۱۲۸۸ رضاخان برای چه چیزی به زنجان و اردبیل اعزام شد؟,خواباندن شورش‌های طرفداران محمدعلی‌شاه و مخالفان مشروطه,برای خواباندن شورش‌های طرفداران محمدعلی‌شاه و مخالفان مشروطه,برای خواباندن شورش‌های طرفداران محمدعلی‌شاه و مخالفان مشروطه,True,False,0.9333333333333333,0.875,1.0,True
مایکل سندی‌ووجیس در چه سالی متولد شد؟,,,,True,False,0.0,0.0,0.0,False
چه زمانی جام توماس لیپتون به عنوان نخستین دوره رقابت‌های جام جهانی شناخته می‌شد؟,,نخستین دوره رقابت‌های جام جهانی در سال ۱۹۳۰ برگزار شد.,نخستین دوره رقابت‌های جام جهانی در سال ۱۹۳۰ برگزار شد.,False,False,0.0,0.0,0.0,False
شالبافی در کجا و توسط چه کسانی دراستان گیلان رایج است؟,شالبافی در تالش و توسط گالش‌ها,شالبافی در استان گیلان توسط زنان روستایی رایج است.,شالبافی در استان گیلان توسط زنان روستایی رایج است.,False,False,0.4,0.3333333333333333,0.5,False
پس از چه رویدادی فعالیت‌های سازمان دارِ تئاتر در اروپای غربی متوقف شد؟,پس از سقوط امپراتوری روم,جنگ جهانی اول,جنگ جهانی اول,False,False,0.0,0.0,0.0,False
نام فرد ایرانی که پست‌هایی همچون مشاور ارشد مدیر عامل گوگل و نایب‌رئیس ارشد بخش فروش را در این شرکت داشت چه بود؟,امید کردستانی,امید کردستانی,امید کردستانی,True,True,1.0,1.0,1.0,True
دوره‌ی مداری چیست؟,,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
بزرگترین مشکل استان خوزستان در حال حاضر چیست؟,,عدم ذکر مشکل خاصی در متن,عدم ذکر مشکل خاصی در متن,False,False,0.0,0.0,0.0,False
کریم‌خان زند خود را چه نامید؟,او خود راوکیل الرعایا نامید,سردار سپاه,سردار سپاه,False,False,0.0,0.0,0.0,False
چه چیزی در استان خوزستان قابلیت بالقوهٔ کشاورزی فراوانی ایجاد کرده‌است؟,ساختار جلگه‌ای استان خوزستان,منابع نفت و گاز,منابع نفت و گاز,False,False,0.0,0.0,0.0,False
بعد از لیندون بنیز جانسون چه کسی رئیس جمهور شد؟,ریچارد نیکسون,ریچارد نیکسون,ریچارد نیکسون,True,True,1.0,1.0,1.0,True
مدار ژئوسنکرون زمین در چه فاصله‌ای از سطح زمین است؟,۳۶۰۰۰ کیلومتری,۳۵٬۷۸۶ کیلومتر,۳۵٬۷۸۶ کیلومتر,False,False,0.0,0.0,0.0,False
علی بن موسی الرضا چگونه به شهادت رسید؟ ,,در متن موجود اطلاعاتی دربارهٔ چگونگی شهادت علی بن موسی الرضا ذکر نشده است.,در متن موجود اطلاعاتی دربارهٔ چگونگی شهادت علی بن موسی الرضا ذکر نشده است.,True,False,0.0,0.0,0.0,False
در قرن ۴ام اسلامی برای جمع‌آوری قرائت‌های مختلف قرآنی برای هر قاری چند راوی قرار دادند؟,دو,چهار راوی,چهار راوی,False,False,0.0,0.0,0.0,False
کادوسیان بنابر استرابو در کجا می‌زیستند؟,در کرانه جنوب غرب دریای خزر و جنوب ارس بین آلبانی در شمال و ماردی در شرق یعنی در بخش کوهستانی مادیه پیرامون پاراچوآتراس,در قفقاز,در قفقاز,False,False,0.07692307692307693,0.5,0.041666666666666664,False
ماهواره‌های مدارات قطبی جهت چه کاری مورد استفاده قرار می‌گیرند؟,مشاهدۀ سطح زمین,ماهواره‌های مدارات قطبی برای ارتباطات و عملکرد دقیق در کشوری متمدن و پیشرفته مورد استفاده قرار می‌گیرند.,ماهواره‌های مدارات قطبی برای ارتباطات و عملکرد دقیق در کشوری متمدن و پیشرفته مورد استفاده قرار می‌گیرند.,False,False,0.0,0.0,0.0,False
در سال 1963، کدام شهرستان کوچک در شمال به گیلان ملحق شد؟,آستارا,آستارا,آستارا,True,False,0.0,0.0,0.0,False
نسخه‌های تست بتا به وسیله ی چه گروهی اجرا شد؟,به وسیلهٔ گروهی غیر از تولیدکنندگان,گروه تولیدکننده,گروه تولیدکننده,False,False,0.0,0.0,0.0,False
در چه سالی دوپلر مقاله ای راجع به اثر دوپلر بر روی همه ی امواج نوشت؟,۱۸۴۲,1842,1842,True,False,0.0,0.0,0.0,True
آزمایش های سندی‌ووجیس در چه کتابی منتشر شده؟,در مورد احتراق,"در کتاب ""آزمایش های سندی‌ووجیس"" منتشر شده است.","در کتاب ""آزمایش های سندی‌ووجیس"" منتشر شده است.",False,False,0.18181818181818182,0.125,0.3333333333333333,False
تعدادی از موضوعات نقاشی انسان های گذشته را نام ببرید.,تصاویری همچون اهلی کردن حیوانات، کشت گندم، اختراع سفالگری و ترک زندگی کوچنشینی یعنی هنگامی که شکارچیان و تهیه‌کنندگان غذا در مکانی مستقر می‌شوند و به کشاورزی و دامداری رو می‌آورند,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
سنگ نوشته ای که در نزدیکی تخت جمشید است به چه زبانی است؟,فارسی و یونانی,فارسی و یونانی,فارسی و یونانی,True,True,1.0,1.0,1.0,True
کلیسای کاتولیک اهداف خود را بر چه چیزی تعریف می‌کند؟,گسترش انجیل عیسی مسیح، مدیریت کلیسا از طریق حاکمیت دینی و اعمال خیریه تاسیس بیمارستان، یتیم خانه و مدرسه,گسترش انجیل عیسی مسیح، مدیریت کلیسا از طریق حاکمیت دینی و اعمال خیریه,گسترش انجیل عیسی مسیح، مدیریت کلیسا از طریق حاکمیت دینی و اعمال خیریه,False,False,0.8125000000000001,1.0,0.6842105263157895,False
طبق نظر غالب محققان الگوی تکاملی تئاتر در جوامع مختلف به چه صورت می باشد؟,غالب محققان این نظر را که تئاتر در همهٔ جوامع از الگوی تکاملی واحدی پیروی کرده‌است و رد می‌کنند,سرچشمه تئاتر داستانسرایی است و از افسانه سرایی نشأت می‌گیرد.,سرچشمه تئاتر داستانسرایی است و از افسانه سرایی نشأت می‌گیرد.,False,False,0.13793103448275862,0.2,0.10526315789473684,False
امپراتوری ایران با کدام منطقه در صلح وآرامش بود؟,دشمنان شرقی,ارمنستان,ارمنستان,False,False,0.0,0.0,0.0,False
باشگاه شنای متروپولیتین لندن بعدها به چه چیزی تغییر نام پیدا کرد؟,انجمن شنای غیر حرفه‌ای,"باشگاه شنای متروپولیتین لندن به ""باشگاه شنای متروپولیتین"" تغییر نام پیدا کرد.","باشگاه شنای متروپولیتین لندن به ""باشگاه شنای متروپولیتین"" تغییر نام پیدا کرد.",False,False,0.125,0.08333333333333333,0.25,False
چه چیزی به آهنگسازان هیپ هاپ اجازه داد تا حدودی پارتیتورهای اولیه را به دست آورند؟,ظهور طبل برقی,افزایش محبوبیت هیپ هاپ و صحبت کردن نوازندگان در حین نواخته شدن موسیقی,افزایش محبوبیت هیپ هاپ و صحبت کردن نوازندگان در حین نواخته شدن موسیقی,False,False,0.0,0.0,0.0,False
فرهنگ میان‌رودان چگونه بوده است؟,,متن ارائه شده اطلاعاتی درباره فرهنگ میان‌رودان ندارد.,متن ارائه شده اطلاعاتی درباره فرهنگ میان‌رودان ندارد.,True,False,0.0,0.0,0.0,False
مدار ژیودزیکی چیست؟,,متن ارائه شده اطلاعاتی درباره مدار ژیودزیکی ندارد.,متن ارائه شده اطلاعاتی درباره مدار ژیودزیکی ندارد.,True,False,0.0,0.0,0.0,False
توپولوژی چیست؟,,متن ارائه شده اطلاعاتی درباره توپولوژی ندارد.,متن ارائه شده اطلاعاتی درباره توپولوژی ندارد.,True,False,0.0,0.0,0.0,False
در کدام دهه در هرسال اینترنت رشدی صد درصدی نسبت به سال قبل خود داشته‌است؟,در دهه ۹۰,دهه ۹۰,دهه ۹۰,True,False,0.8,1.0,0.6666666666666666,False
کاسپین صفت وصفی یا نسبی در زبان‌های انگلیسی و فرانسوی برای کدام واژه است؟,کاسپی,کاسپی,کاسپی,True,True,1.0,1.0,1.0,True
اکسیژن چگونه اجازه می‌دهد تا احتراق به سرعت و پرانرژی انجام شود؟,با غلظت و تراکم بالا,اکسیژن با غلظت و تراکم بالا اجازه می‌دهد تا احتراق به سرعت و پرانرژی انجام شود.,اکسیژن با غلظت و تراکم بالا اجازه می‌دهد تا احتراق به سرعت و پرانرژی انجام شود.,True,False,0.47619047619047616,0.3125,1.0,True
ابن فقیه همدانی در کتاب «اخبار البلدان» آورده‌است که آتش آذرگشنسب تا چه سالی روشن بوده‌است؟,سال ۲۷۴ خورشیدی,تا سال ۳۲ هجری,تا سال ۳۲ هجری,False,False,0.28571428571428575,0.25,0.3333333333333333,False
تاریخ ژاپن از کجا آغاز می‌گردد؟,آغاز تاریخ ژاپن، با مردمانی از نژاد آینو و مغول به سده‌های پیش از میلاد مسیح بازمی‌گردد,دوره جومون,دوره جومون,False,False,0.0,0.0,0.0,False
اروگوئه‌ای‌ها به چه علت مسابقات جام جهانی ایتالیا را تحریم کردند؟,از گسترش فاشیسم در ایتالیا ناراضی بودند,به دلیل گسترش فاشیسم در ایتالیا,به دلیل گسترش فاشیسم در ایتالیا,True,False,0.6153846153846153,0.6666666666666666,0.5714285714285714,False
مسابقات جام جهانی سال ۱۹۳۸ با حضور چند تیم برگزار شد؟,۱۵ تیم,۱۵ تیم,۱۵ تیم,True,True,1.0,1.0,1.0,True
نظام آموزشی کانادا را شرح دهید.,,متن ارائه شده شامل اطلاعاتی درباره نظام آموزشی کانادا نیست.,متن ارائه شده شامل اطلاعاتی درباره نظام آموزشی کانادا نیست.,True,False,0.0,0.0,0.0,False
یکی از سرویس‌های ارتباطی مهم در دسترس بر روی اینترنت را نام ببرید؟,پست الکترونیک,تلفن اینترنتی (VoIP),تلفن اینترنتی (VoIP),False,False,0.0,0.0,0.0,False
مشهورترین خوراکی استان گیلان از نظرجهانگردان چیست؟,,کته,کته,False,False,0.0,0.0,0.0,False
در سال 652 هجری در گیلان شهر چگونه شکل می‌گرفت؟,با جمع شدن مردم به‌طور موقت در یک روز و تشکیل بازار یا «گوراب» که از همان انبوهه و گروه گرفته شده بود شکل می‌گرفت,متن موجود اطلاعاتی دربارهٔ شکل‌گیری شهرها در سال 652 هجری قمری در گیلان ارائه نمی‌دهد.,متن موجود اطلاعاتی دربارهٔ شکل‌گیری شهرها در سال 652 هجری قمری در گیلان ارائه نمی‌دهد.,False,False,0.05,0.06666666666666667,0.04,False
دلیل تأثیر منفی ارتفاع زیاد چیست؟,رقیق شدن سریع اکسیژن روی انسان,متن ارائه شده هیچ اشاره‌ای به دلیل تأثیر منفی ارتفاع زیاد ندارد.,متن ارائه شده هیچ اشاره‌ای به دلیل تأثیر منفی ارتفاع زیاد ندارد.,False,False,0.0,0.0,0.0,False
چه کسانی مدت‌ها منبع محبوبی برای بریک بودند؟,جیمز براون، باب جیمز، و پارلیامنت,برتراند راسل و کارل سیگن,برتراند راسل و کارل سیگن,False,False,0.1818181818181818,0.2,0.16666666666666666,False
رضاشاه در جوانی به نام ناحیه‌ای که از آن برخاسته بود نامیده می‌شد، آن نام چیست؟,رضا سوادکوهی,مازندران,مازندران,False,False,0.0,0.0,0.0,False
دونالد ترامپ چندمین رئیس جمهور آمریکا بود؟,,۴۵,۴۵,True,False,0.0,0.0,0.0,False
شهر رم در کدام کشور است؟,ایتالیا,ایتالیا,ایتالیا,True,True,1.0,1.0,1.0,True
کدام مورخان نگاه سنتی در برابر روش گردآوری قرآن را رد کرده‌اند؟,مایکل کووک و پاتریکا کرون,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
نقاشی‌ بازدید ناصرالدین شاه از کشور روسیه در سال ۱۸۷۳ م (۱۲۹۰ ه‍.ق)  که شاه را سوار بر اسب در کنار الکساندر دوم امپراتور وقت روسیه می‌نمایاند در کدام موزه نگهداری می‌شود؟,موزهٔ ارمیتاژ روسیه,موزهٔ ارمیتاژ روسیه,موزهٔ ارمیتاژ روسیه,True,True,1.0,1.0,1.0,True
کدام‌یک از پادشاهان به آئین بودا معتقد بودند؟,,امپراتریس سویکو و امیر شوتوکو تیشی,امپراتریس سویکو و امیر شوتوکو تیشی,False,False,0.0,0.0,0.0,False
شنا کردن را تعریف کنید.,شناکردن عبارت است از حرکات منظم دست‌ها و پاها و به‌طور کلی بدن که امکان پیشروی موجودات زنده در آب را ممکن می‌سازد.,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
چه کسی اولین تئاتر زنان ایرانی را راه اندازی کرد؟,امیر سعادت,متن موجود اطلاعاتی دربارهٔ اولین تئاتر زنان ایرانی ارائه نمی‌دهد.,متن موجود اطلاعاتی دربارهٔ اولین تئاتر زنان ایرانی ارائه نمی‌دهد.,False,False,0.0,0.0,0.0,False
مایکل سندی‌ووجیس در سال ۱۶۰۴ چه ماده ای را شرح داد؟,ماده موجود در هوا,ماده ای در سال ۱۶۰۴ شرح داده نشده است.,ماده ای در سال ۱۶۰۴ شرح داده نشده است.,False,False,0.30769230769230765,0.2222222222222222,0.5,False
مهم‌ترین استان کانادا از لحاظ اقتصادی و سیاسی را نام ببرید.,انتاریو,انتاریو,انتاریو,True,True,1.0,1.0,1.0,True
نویسنده‌ی کتاب «کُرّاسهٔ اَلمَعی» چه کسی است؟,,جاسم حسین,جاسم حسین,False,False,0.0,0.0,0.0,False
چند اماکن عمومی که می‌توان در آن‌ها از اینترنت استفاده نمود نام ببرید؟,کتابخانه‌ها و کافی‌نتها,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
ارشد‌الدوله که بود؟,,در متن موجود اطلاعاتی درباره ارشدالدوله وجود ندارد.,در متن موجود اطلاعاتی درباره ارشدالدوله وجود ندارد.,True,False,0.0,0.0,0.0,False
وظیفه پی بندی و استانداردسازی پروتکل‌های هسته‌ای اینترنت، پروتکل اینترنت نسخه ۴ و پروتکل اینترنت نسخه ۶ بر عهده چه گروهی است؟,گروه ویژه مهندسی اینترنت,IETF,IETF,True,False,0.0,0.0,0.0,False
در کدام سواحل و در چه تاریخی از شنا در آب به عنوان وسیله‌ای برای درمان استفاده می‌شد؟,سواحل بریتانیای کبیر در اواخر قرن ۱۷ میلادی,متن ارائه شده اطلاعاتی در مورد استفاده از شنا به عنوان وسیله‌ای برای درمان ارائه نمی‌دهد.,متن ارائه شده اطلاعاتی در مورد استفاده از شنا به عنوان وسیله‌ای برای درمان ارائه نمی‌دهد.,False,False,0.08333333333333333,0.0625,0.125,False
کدام حزب ایالات متحده آمریکا با نام جی‌او‌پی یا حزب بزرگ قدیمی نیز شناخته می‌شود؟,حزب جمهوری‌خواه,حزب جمهوری‌خواه ایالات متحده آمریکا,حزب جمهوری‌خواه ایالات متحده آمریکا,True,False,0.5714285714285715,0.4,1.0,True
اشتراک نظر لوی استروس با مکتب کارکرد گرایی چیست؟,لِوی استروس همچون پیروان مکتب کارکرد گرایی، داروینیسم فرهنگی را رد می‌کند و معتقد است که هر جامعه‌ای خط فرهنگی خاصهٔ خود را به وجود می‌آورد,هر جامعه‌ای خط فرهنگی خاصهٔ خود را به وجود می‌آورد.,هر جامعه‌ای خط فرهنگی خاصهٔ خود را به وجود می‌آورد.,False,False,0.5,0.9,0.34615384615384615,False
در ابتدای تأسیس گوگل در سال ۱۹۹۸ تا اوت ۲۰۰۱، چه کسی مدیر ارشد اجرایی گوگل بود؟,لری پیج,اریک اشمیت,اریک اشمیت,False,False,0.0,0.0,0.0,False
شبکه استانی صدای مرکز گیلان دارای چند بخش است؟,دو بخش برون مرزی رادیو گرجی و رادیو تالشی,دو بخش برون مرزی رادیو گرجی و رادیو تالشی,دو بخش برون مرزی رادیو گرجی و رادیو تالشی,True,True,1.0,1.0,1.0,True
چرا پادشاهان در قرن هشتم دست از زندگی مجلل و اشرافی خود برداشتند؟,برخی از پادشاهان این دوره بعلت گرایش به آئین بودا و تعصب در این دین دست از زندگی مجلل و اشرافی خود برداشتند.,متن ارائه شده به این سوال پاسخ نمی‌دهد.,متن ارائه شده به این سوال پاسخ نمی‌دهد.,False,False,0.12903225806451613,0.25,0.08695652173913043,False
در سال 1909، چه کسی جام توماس لیپتون را در شهر تورین برگزار کرد؟,سر توماس لیپتون,جام توماس لیپتون در سال 1909 در شهر تورین برگزار شد.,جام توماس لیپتون در سال 1909 در شهر تورین برگزار شد.,False,False,0.28571428571428575,0.18181818181818182,0.6666666666666666,False
پنتاگون کجاست؟,مقر و فرماندهی وزارت دفاع ایالات متحدهٔ آمریکا,ایالات متحدهٔ آمریکا,ایالات متحدهٔ آمریکا,False,False,0.36363636363636365,0.6666666666666666,0.25,False
کمدی تا چه سالی به دیونوسیای شهر راه نیافت؟,تا سال‌های ۴۸۷–۴۸۶,سال ۵۳۴ قبل از میلاد,سال ۵۳۴ قبل از میلاد,False,False,0.0,0.0,0.0,False
بزرگترین و مهم‌ترین زن نمایشگر و خدای‌نامه‌خوان پس از اسلام کیست؟,همسر فردوسی,عبدالکریم حائری یزدی,عبدالکریم حائری یزدی,False,False,0.0,0.0,0.0,False
چه سرویسی با پیدایش اینترنت امکان‌پذیر شد؟,تلفن اینترنتی,تلفن اینترنتی (VoIP),تلفن اینترنتی (VoIP),True,False,0.8,0.6666666666666666,1.0,True
یکی از نکات مورد اختلاف بین ساسانی‌ها و رومی‌ها چه بوده‌است؟,ارمنستان,سیاست سختگیرانه امپراتوری روم نسبت به ارمنستان,سیاست سختگیرانه امپراتوری روم نسبت به ارمنستان,True,False,0.25,0.14285714285714285,1.0,True
در بمباران اتمی هیروشیما و ناکازاکی، در ژاپن چند نفر جان خود را از دست دادند؟,,حدود ۲۰۰٬۰۰۰ نفر,حدود ۲۰۰٬۰۰۰ نفر,False,False,0.0,0.0,0.0,False
عمره ترین شرکای تجاری ژاپن کدام کشور‌ها هستند؟,آمریکا با ۲۲٫۷٪، چین با ۱۳٫۱٪ و کره جنوبی با ۷٫۸٪ عمده‌ترین شرکای تجاری این کشور هستند.,روسیه، چین، شبه جزیره کره,روسیه، چین، شبه جزیره کره,False,False,0.1818181818181818,0.4,0.11764705882352941,False
وب توسط چه کسی اختراع شد؟,دانشمندی انگلیسی به نام تیم برنرز لی,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
نام جمهوری‌خواه از چه چیزی اقتباس گردید؟,از نام حزب جمهوری‌خواهان دموکراتیک که در ابتدای قرن نوزدهم توسط توماس جفرسون بنیان گذاشته شد,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
ساختمان دارالفنون در کدام قسمت تهران قرار گرفته‌است؟,مرکز شهر تهران,خیابان ناصرخسرو در مرکز شهر تهران,خیابان ناصرخسرو در مرکز شهر تهران,True,False,0.6666666666666666,0.5,1.0,True
تاریخ بلعمی پرچم امویان را به چه رنگی توصیف کرده‌است؟,سبز,رنگی ذکر نشده است.,رنگی ذکر نشده است.,False,False,0.0,0.0,0.0,False
به منظور تمرکززدایی بسیاری از وزارتخانه‌ها و سفارتخانه‌ها هلند در کدام شهر مستقر شده‌اند؟,لاهه,لاهه,لاهه,True,True,1.0,1.0,1.0,True
قران توسط زید بن ثابت طی چه مدتی جمع آوری شد؟,۱۴ ماه و تا زمان فوت ابوبکر در سال ۱۳ هجری,در مدت ۱۷ سال,در مدت ۱۷ سال,False,False,0.26666666666666666,0.5,0.18181818181818182,False
در شنای پروانه، پاها حدود چند سانتی‌متر در زیر آب است؟,۳۰ سانتی‌متر,۳۰ سانتی‌متر,۳۰ سانتی‌متر,True,True,1.0,1.0,1.0,True
تعداد دانلود اَپ استور در ۶ مارس ۲۰۱۲ چقدر بود؟,بیش از ۲۵ بیلیون بار,نمی‌توان اطلاعاتی در مورد تعداد دانلود اَپ استور در ۶ مارس ۲۰۱۲ ارائه داد.,نمی‌توان اطلاعاتی در مورد تعداد دانلود اَپ استور در ۶ مارس ۲۰۱۲ ارائه داد.,False,False,0.0,0.0,0.0,False
روستای آلاشت از توابع کجاست؟,سوادکوه,مازندران,مازندران,False,False,0.0,0.0,0.0,False
چگونه هلند با بریتانیا هم‌جوار است؟,دریا,هلند با بریتانیا هم‌جوار نیست.,هلند با بریتانیا هم‌جوار نیست.,False,False,0.0,0.0,0.0,False
«آئین‌نامه نظامی قواعد مشق و حرکات پیاده‌نظام دولت علیّه ایران» در چه زمانی به چاپ رسید؟,رمضان ۱۲۶۸ ه‍.ق (اوایل صدارت میرزا آقا خان نوری),سال ۱۳۱۱,سال ۱۳۱۱,False,False,0.0,0.0,0.0,False
فروش ۱٫۶۷ میلیارد دلاری سهام گوگل، سرمایه این شرکت را به چه قیمتی رساند؟,بیش از ۲۳ میلیارد دلار,نمی‌توان از متن اطلاعاتی در مورد قیمت سرمایه شرکت گوگل پس از فروش ۱٫۶۷ میلیارد دلاری سهام آن استخراج کرد.,نمی‌توان از متن اطلاعاتی در مورد قیمت سرمایه شرکت گوگل پس از فروش ۱٫۶۷ میلیارد دلاری سهام آن استخراج کرد.,False,False,0.16000000000000003,0.1,0.4,False
اولین مردی که شنای 100متر کرال سینه را زیر یک دقیقه شنا کرد کیست؟,,ریچارد کاویل,ریچارد کاویل,False,False,0.0,0.0,0.0,False
پایه اسیدها را چه چیزی تشکیل می‌دهد؟,هیدروژن,Could not find any relevant information to answer the question.,Could not find any relevant information to answer the question.,False,False,0.0,0.0,0.0,False
در سال 2006 تعداد روستاهای مسکون گیلان به چقدر کاهش یافت؟,۲۶۸۶,اطلاعاتی در مورد کاهش تعداد روستاهای مسکون گیلان در سال 2006 در متن موجود نیست.,اطلاعاتی در مورد کاهش تعداد روستاهای مسکون گیلان در سال 2006 در متن موجود نیست.,False,False,0.0,0.0,0.0,False
دو فضای نام اصلی اینترنت، نشانی پروتکل اینترنت و سامانه نام دامنه توسط چه سازمانی راهبری می‌شوند؟,آیکان,ICANN,ICANN,True,False,0.0,0.0,0.0,False
پاپک درچه تاریخی موفق به سرنگون کردن گوچهر از خاندان بازرنگیان شد؟,در سال ۲۰۰,سال ۲۰۰,سال ۲۰۰,True,False,0.8,1.0,0.6666666666666666,False
خاندان هوجو به کدام خاندان حکومت را واگذار کرد؟,خاندان هوجو در جدال بر سر قدرت، حاکمیت را به خاندان آشیکاگا واگذار کرد.,خاندان موری,خاندان موری,False,False,0.125,0.5,0.07142857142857142,False
نام کامل ون گوگ چیست؟,تئو فان خُخ,وینسنت ویلم ون گوگ,وینسنت ویلم ون گوگ,False,False,0.0,0.0,0.0,False
واژهٔ گوگول بعد از اختراع شدن توسط میلتون سیروتا در چه کتابی نوشته شد؟,ریاضیات و تخیل,"کتاب ""گودال و پری""","کتاب ""گودال و پری""",False,False,0.28571428571428575,0.25,0.3333333333333333,False
در بازی‌های آسیایی ۱۹۹۰ پکن چند ورزش المپیکی و چند ورزش غیر المپیکی باهم به رقابت پرداختند؟,۲۸ ورزش المپیکی و ۱۴ ورزش غیر المپیکی,آسیایی ۱۹۹۰ پکن: ۲۵ ورزش المپیکی و ۷ ورزش غیر المپیکی,آسیایی ۱۹۹۰ پکن: ۲۵ ورزش المپیکی و ۷ ورزش غیر المپیکی,False,False,0.631578947368421,0.5454545454545454,0.75,False
فتح هویزه در چه سالی اتفاق افتاد؟,,1979,1979,False,False,0.0,0.0,0.0,False
رضاخان به نصیحت چه کسانی مبنی بر ادامهٔ نظام پادشاهی و عدم تأسیس جمهوری گوش کرد؟,روحانیون بلند مرتبهٔ شیعه,سیاست‌مداران ایران و هیئت نمایندگی بریتانیا,سیاست‌مداران ایران و هیئت نمایندگی بریتانیا,False,False,0.0,0.0,0.0,False
